ID_MAXIMO,Route,Order,Name,Dova_code,Night_shift,longitude,latitude,ID,abri,n_in_run,Type_halte
Depot,,1.0,,,100,4.34894911389561,52.0653854823115,0,,1,
HLS0138,4.0,5.0,Ypenburgseboslaan,NL:Q:42012501,0,4.376993,52.050768,1,1.0,1,Bushalte
HLS0140,4.0,2.0,Ypenburgseboslaan,NL:Q:42012601,0,4.370949,52.046627,2,1.0,1,Bushalte
HLS0172,4.0,1.0,Ypenburgseboslaan,NL:Q:42015902,0,4.3647,52.043238,3,1.0,1,Bushalte
HLS0131,2.0,15.0,Brasserkade 223,NL:Q:42011202,0,4.362007,52.02779,4,1.0,1,Bushalte
HLS0130,2.0,8.0,Brasserkade 227A,NL:Q:42011201,0,4.362162,52.028034,5,0.0,1,Bushalte
HLS0219,2.0,14.0,Rijswijksewaterweg,NL:Q:42020002,0,4.366838,52.031948,6,1.0,1,Bushalte
HLS0218,2.0,9.0,Rijswijksewaterweg,NL:Q:42020001,0,4.367013,52.031941,7,1.0,1,Bushalte
HLS0127,2.0,13.0,Rijswijksewaterweg,NL:Q:42010102,0,4.374758,52.035513,8,1.0,1,Bushalte
HLS0126,2.0,10.0,Rijswijksewaterweg,NL:Q:42010101,0,4.375093,52.035507,9,0.0,1,Bushalte
HLS0336,2.0,11.0,Rijswijksewaterweg,NL:Q:42072901,0,4.383181,52.032287,10,0.0,1,Bushalte
HLS0337,2.0,12.0,Rijswijksewaterweg,NL:Q:42072902,0,4.383063,52.032376,11,0.0,1,Bushalte
HLS0141,4.0,3.0,Ypenburgseboslaan,NL:Q:42012602,0,4.371153,52.046673,12,1.0,1,Bushalte
HLS0139,4.0,4.0,Ypenburgseboslaan,NL:Q:42012502,0,4.377239,52.05086,13,1.0,1,Bushalte
HLS0163,26.0,7.0,Libbelsingel/leliekeverstraat,NL:Q:42015001,0,4.415457,52.062058,14,1.0,1,Bushalte
HLS0207,26.0,5.0,Houtkade/Wilgenkade,NL:Q:42018702,0,4.416644,52.059075,15,1.0,1,Bushalte
HLS0206,26.0,6.0,Houtkade/Wilgenkade,NL:Q:42018701,0,4.416687,52.05912,16,1.0,1,Bushalte
HLS0164,26.0,8.0,Libbelsingel/leliekeverstraat,NL:Q:42015002,0,4.41544,52.062148,17,1.0,1,Bushalte
HLS0133,26.0,9.0,Mosselsingel/Jacobsmantelstraat,NL:Q:42011802,0,4.410877,52.065427,18,1.0,1,Bushalte
HLS0132,26.0,10.0,Mosselsingel/Jacobsmantelstraat,NL:Q:42011801,0,4.410286,52.065791,19,0.0,1,Bushalte
HLS0214,4.0,7.0,Noordkrompsingel,NL:Q:42019801,0,4.406458,52.068105,20,1.0,1,Bushalte
HLS0215,4.0,6.0,Noordkrompsingel,NL:Q:42019802,0,4.406224,52.06813,21,1.0,1,Bushalte
HLT7119,17.0,27.0,Maanweg/Regulusweg,NL:Q:32007119,0,4.352312,52.067093,22,1.0,1,Bushalte
HLT7120,17.0,1.0,Maanweg/Regulusweg,NL:Q:32007120,0,4.352534,52.066961,23,0.0,1,Bushalte
HLT3907,25.0,23.0,Zonweg 9,NL:Q:32003907,0,4.34064110329787,52.0667989654997,24,1.0,1,Bushalte
HLT3908,12.0,1.0,Zonweg 9,NL:Q:32003908,0,4.340601,52.067071,25,0.0,1,Bushalte
HLS0184,24.0,9.0,Laan van Wateringseveld/Bostonsingel,NL:Q:42017101,0,4.283969,52.034491,26,1.0,1,Bushalte
HLS0155,24.0,10.0,Laan van Wateringse Veld 583,NL:Q:42013801,0,4.285972,52.031265,27,1.0,1,Bushalte
HLS0194,18.0,27.0,Laan van Wateringse Veld 925,NL:Q:42017701,0,4.29007,52.026368,28,1.0,1,Bushalte
HLS0161,18.0,28.0,Laan van Wateringse Veld 1209,NL:Q:42014601,0,4.293527,52.022661,29,1.0,1,Bushalte
HLS0198,24.0,3.0,Laan van Wateringse Veld 1507,NL:Q:42017901,0,4.297951,52.019862,30,1.0,1,Bushalte
HLS0202,24.0,1.0,Laan van wateringse Veld/Paul Steenbergenlaan,NL:Q:42018201,0,4.302055,52.018264,31,1.0,1,Bushalte
HLS0203,24.0,2.0,Laan van wateringse Veld/Waterkersvijver,NL:Q:42018202,0,4.301737,52.018755,32,1.0,1,Bushalte
HLS0199,24.0,4.0,Laan van Wateringse Veld 1444,NL:Q:42017902,0,4.296792,52.020822,33,1.0,1,Bushalte
HLS0162,24.0,5.0,Laan van Wateringse Veld 1048,NL:Q:42014602,0,4.293806,52.023167,34,1.0,1,Bushalte
HLS0195,24.0,6.0,Laan van Wateringse Veld 916,NL:Q:42017702,0,4.289974,52.026727,35,1.0,1,Bushalte
HLS0156,24.0,7.0,Laan van Wateringse Veld 458,NL:Q:42013802,0,4.286533,52.031549,36,1.0,1,Bushalte
HLS0185,24.0,8.0,Laan van Wateringseveld / Havannasingel,NL:Q:42017102,0,4.284155,52.03461,37,1.0,1,Bushalte
HLT3343,24.0,11.0,Erasmusweg 441,NL:Q:32003343,0,4.271386624325,52.0360149317233,38,0.0,1,Bushalte
HLT3340,24.0,12.0,Erasmusweg/Beresteinlaan,NL:Q:32003340,0,4.2660258276495,52.033319918307,39,0.0,1,Bushalte
