ID_MAXIMO,first_order,n_visits,Route,Order,Name,Dova_code,Night_shift,longitude,latitude,ID,abri,Service_time
Depot,0,1,NA,1,NA,NA,100,4.34894911389561,52.0653854823115,0,NA,0
HLS0126,9,1,REI-D101,1,Rijswijksewaterweg,NL:Q:42010101,0,4.375093,52.035507,1,0,10
HLS0127,8,1,REI-D101,2,Rijswijksewaterweg,NL:Q:42010102,0,4.374758,52.035513,2,1,20
HLS0130,5,1,REI-D101,3,Brasserkade 227A,NL:Q:42011201,0,4.362162,52.028034,3,0,10
HLS0131,4,1,REI-D101,4,Brasserkade 223,NL:Q:42011202,0,4.362007,52.02779,4,1,20
HLS0132,19,1,REI-D101,5,Mosselsingel/Jacobsmantelstraat,NL:Q:42011801,0,4.410286,52.065791,5,0,10
HLS0133,18,1,REI-D101,6,Mosselsingel/Jacobsmantelstraat,NL:Q:42011802,0,4.410877,52.065427,6,1,20
HLS0138,1,1,REI-D101,7,Ypenburgseboslaan,NL:Q:42012501,0,4.376993,52.050768,7,1,20
HLS0139,13,1,REI-D101,8,Ypenburgseboslaan,NL:Q:42012502,0,4.377239,52.05086,8,1,20
HLS0140,2,1,REI-D101,9,Ypenburgseboslaan,NL:Q:42012601,0,4.370949,52.046627,9,1,20
HLS0141,12,1,REI-D101,10,Ypenburgseboslaan,NL:Q:42012602,0,4.371153,52.046673,10,1,20
HLS0163,14,1,REI-D101,11,Libbelsingel/leliekeverstraat,NL:Q:42015001,0,4.415457,52.062058,11,1,20
HLS0164,17,1,REI-D101,12,Libbelsingel/leliekeverstraat,NL:Q:42015002,0,4.41544,52.062148,12,1,20
HLS0172,3,1,REI-D101,13,Ypenburgseboslaan,NL:Q:42015902,0,4.3647,52.043238,13,1,20
HLS0206,16,1,REI-D101,14,Houtkade/Wilgenkade,NL:Q:42018701,0,4.416687,52.05912,14,1,20
HLS0207,15,1,REI-D101,15,Houtkade/Wilgenkade,NL:Q:42018702,0,4.416644,52.059075,15,1,20
HLS0214,20,1,REI-D101,16,Noordkrompsingel,NL:Q:42019801,0,4.406458,52.068105,16,1,20
HLS0215,21,1,REI-D101,17,Noordkrompsingel,NL:Q:42019802,0,4.406224,52.06813,17,1,20
HLS0218,7,1,REI-D101,18,Rijswijksewaterweg,NL:Q:42020001,0,4.367013,52.031941,18,1,20
HLS0219,6,1,REI-D101,19,Rijswijksewaterweg,NL:Q:42020002,0,4.366838,52.031948,19,1,20
HLS0336,10,1,REI-D101,20,Rijswijksewaterweg,NL:Q:42072901,0,4.383181,52.032287,20,0,10
HLS0337,11,1,REI-D101,21,Rijswijksewaterweg,NL:Q:42072902,0,4.383063,52.032376,21,0,10
HLT3907,24,1,REI-D101,22,Zonweg 9,NL:Q:32003907,0,4.34064110329787,52.0667989654997,22,1,20
HLT3908,25,1,REI-D101,23,Zonweg 9,NL:Q:32003908,0,4.340601,52.067071,23,0,10
HLT7119,22,1,REI-D101,24,Maanweg/Regulusweg,NL:Q:32007119,0,4.352312,52.067093,24,1,20
HLT7120,23,1,REI-D101,25,Maanweg/Regulusweg,NL:Q:32007120,0,4.352534,52.066961,25,0,10
HLS0142,22,1,REI-D102,1,Midachtenweg/Guntersteinweg,NL:Q:42012701,0,4.30322,52.047793,26,1,20
HLS0143,23,1,REI-D102,2,Midachtenweg/Guntersteinweg,NL:Q:42012702,0,4.303809,52.046972,27,1,20
HLS0155,2,1,REI-D102,3,Laan van Wateringse Veld 583,NL:Q:42013801,0,4.285972,52.031265,28,1,20
HLS0156,11,1,REI-D102,4,Laan van Wateringse Veld 458,NL:Q:42013802,0,4.286533,52.031549,29,1,20
HLS0161,4,1,REI-D102,5,Laan van Wateringse Veld 1209,NL:Q:42014601,0,4.293527,52.022661,30,1,20
