Region index,Region label,Time,Speed [kmh],Free flow speed [kmh],Congestion level [%],Travel time per 10 km [min],Road network length [km]
0,Region 1,2024-08-01T00:00,71.3,75.3,5.5,8.4,383.386
0,Region 1,2024-08-01T01:00,68.5,71.4,4.1,8.7,383.386
0,Region 1,2024-08-01T02:00,67.7,77.3,14,8.8,383.386
0,Region 1,2024-08-01T03:00,79,88.9,12.4,7.5,383.386
0,Region 1,2024-08-01T04:00,82.3,91.1,10.7,7.2,383.386
0,Region 1,2024-08-01T05:00,79.4,86.1,8.4,7.5,383.386
0,Region 1,2024-08-01T06:00,76.5,84.5,10.5,7.8,383.386
0,Region 1,2024-08-01T07:00,72.6,81.6,12.3,8.2,383.386
0,Region 1,2024-08-01T08:00,66,78,18.1,9,383.386
0,Region 1,2024-08-01T09:00,61.1,75.3,23.1,9.8,383.386
0,Region 1,2024-08-01T10:00,61.8,75.7,22.4,9.7,383.386
0,Region 1,2024-08-01T11:00,62.1,76,22.2,9.6,383.386
0,Region 1,2024-08-01T12:00,60.7,74.4,22.4,9.8,383.386
0,Region 1,2024-08-01T13:00,62.7,76.2,21.6,9.5,383.386
0,Region 1,2024-08-01T14:00,63.7,76.7,20.3,9.4,383.386
0,Region 1,2024-08-01T15:00,64.5,77.3,19.9,9.3,383.386
0,Region 1,2024-08-01T16:00,64.9,76,17.1,9.2,383.386
0,Region 1,2024-08-01T17:00,65.1,76.3,17.2,9.2,383.386
0,Region 1,2024-08-01T18:00,66.2,75.7,14.3,9,383.386
0,Region 1,2024-08-01T19:00,63.7,71.1,11.5,9.4,383.386
0,Region 1,2024-08-01T20:00,65.5,71.6,9.3,9.1,383.386
0,Region 1,2024-08-01T21:00,69.4,73.5,5.8,8.6,383.386
0,Region 1,2024-08-01T22:00,74.5,76.7,2.9,8,383.386
0,Region 1,2024-08-01T23:00,74,76,2.6,8.1,383.386
1,Region 2,2024-08-01T00:00,47.2,50.2,6.3,12.7,743.183
1,Region 2,2024-08-01T01:00,50,51.3,2.5,11.9,743.183
1,Region 2,2024-08-01T02:00,49.4,50.3,1.9,12.1,743.183
1,Region 2,2024-08-01T03:00,50.1,50,0,11.9,743.183
1,Region 2,2024-08-01T04:00,47.7,49.5,3.8,12.5,743.183
1,Region 2,2024-08-01T05:00,48.6,51.5,5.8,12.3,743.183
1,Region 2,2024-08-01T06:00,45.4,50.7,11.5,13.2,743.183
1,Region 2,2024-08-01T07:00,41.8,49.7,18.9,14.3,743.183
1,Region 2,2024-08-01T08:00,40.1,49.2,22.7,14.9,743.183
1,Region 2,2024-08-01T09:00,39.2,48.7,24,15.2,743.183
1,Region 2,2024-08-01T10:00,38.2,48.5,26.9,15.6,743.183
1,Region 2,2024-08-01T11:00,37.7,48.7,29.1,15.9,743.183
1,Region 2,2024-08-01T12:00,38,48.6,27.8,15.7,743.183
1,Region 2,2024-08-01T13:00,37.6,48.6,29.1,15.9,743.183
1,Region 2,2024-08-01T14:00,38.2,48.6,27.3,15.7,743.183
1,Region 2,2024-08-01T15:00,38.4,49.2,27.9,15.6,743.183
1,Region 2,2024-08-01T16:00,37.8,48.6,28.5,15.8,743.183
1,Region 2,2024-08-01T17:00,39.3,48.6,23.6,15.2,743.183
1,Region 2,2024-08-01T18:00,42.3,48.6,14.8,14.1,743.183
1,Region 2,2024-08-01T19:00,41.8,47.9,14.6,14.3,743.183
1,Region 2,2024-08-01T20:00,43.1,48.1,11.6,13.9,743.183
1,Region 2,2024-08-01T21:00,45.1,49.1,8.7,13.2,743.183
1,Region 2,2024-08-01T22:00,45.7,49.7,8.7,13.1,743.183
