Region index,Region label,Time,Distance driven [km],Speed [kmh],Free flow speed [kmh],Congestion level [%],Travel time per 10 km [min],Road network length [km]
0,Region 4,2024-08-26T00:00,51.496,49.3,54.2,9.9,12.1,53.29
0,Region 4,2024-08-26T01:00,8.612,50.7,50.3,0,11.8,53.29
0,Region 4,2024-08-26T02:00,12.592,37.4,37.7,0.8,16,53.29
0,Region 4,2024-08-26T03:00,18.524,26.8,30.8,15,22.3,53.29
0,Region 4,2024-08-26T04:00,33.275,28,33.3,18.9,21.3,53.29
0,Region 4,2024-08-26T05:00,92.66,42.5,47.7,12.1,14,53.29
0,Region 4,2024-08-26T06:00,220.84,42.6,45.3,6.4,14,53.29
0,Region 4,2024-08-26T07:00,333.128,45.3,49.1,8.4,13.2,53.29
0,Region 4,2024-08-26T08:00,400.732,41,48.2,17.3,14.5,53.29
0,Region 4,2024-08-26T09:00,292.336,34,44.8,31.4,17.6,53.29
0,Region 4,2024-08-26T10:00,322.323,35.6,45.1,26.9,16.8,53.29
0,Region 4,2024-08-26T11:00,388.844,33.9,42.6,25.6,17.6,53.29
0,Region 4,2024-08-26T12:00,311.855,37.8,46.5,22.9,15.8,53.29
0,Region 4,2024-08-26T13:00,309.927,38.9,47.2,21.1,15.3,53.29
0,Region 4,2024-08-26T14:00,337.342,37.5,46.4,23.8,15.9,53.29
0,Region 4,2024-08-26T15:00,384.819,34.6,44.7,29,17.3,53.29
0,Region 4,2024-08-26T16:00,454.748,33,42.4,28.2,18.1,53.29
0,Region 4,2024-08-26T17:00,426.812,33.5,42.8,27.8,17.8,53.29
0,Region 4,2024-08-26T18:00,330.526,31.3,40.6,29.3,19.1,53.29
0,Region 4,2024-08-26T19:00,330.564,26.9,40.7,51.2,22.2,53.29
0,Region 4,2024-08-26T20:00,194.647,36,44.9,24.5,16.6,53.29
0,Region 4,2024-08-26T21:00,192.979,45.1,52.1,15.7,13.3,53.29
0,Region 4,2024-08-26T22:00,88.112,41,51.5,25.4,14.5,53.29
0,Region 4,2024-08-26T23:00,21.488,45.9,50.7,10.4,13,53.29
1,Region 5,2024-08-26T00:00,28.414,58.4,58.5,0.1,10.2,46.639
1,Region 5,2024-08-26T01:00,5.8,50.7,54.3,7,11.8,46.639
1,Region 5,2024-08-26T02:00,11.24,41.5,54.4,31.1,14.4,46.639
1,Region 5,2024-08-26T03:00,5.831,45.8,49.2,7.3,13,46.639
1,Region 5,2024-08-26T04:00,48.308,54.9,59.4,8.2,10.9,46.639
1,Region 5,2024-08-26T05:00,133.869,52.4,55,4.9,11.4,46.639
1,Region 5,2024-08-26T06:00,233.705,50.9,55.6,9.2,11.7,46.639
1,Region 5,2024-08-26T07:00,404.35,48.3,55,14,12.4,46.639
1,Region 5,2024-08-26T08:00,435.097,43.9,53.5,21.8,13.6,46.639
1,Region 5,2024-08-26T09:00,330.72,44.9,54.1,20.3,13.3,46.639
1,Region 5,2024-08-26T10:00,369.777,42.7,53.7,25.8,14,46.639
