,PO: REI3D101,Unnamed: 1,Route: REI-D101,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,Volgorde,Record,Recordklasse,Overzicht,Locatie,Activum,Beschrijving,Ploeg,Type werk,Status,Opmerkingen 
1,1,960741,WERKORDER,Ypenburgseboslaan,STADSENET,HLS0138,"Halte, NL:Q:42012501 Gruttosingel",REI,POH,KUITV,
2,2,960742,WERKORDER,Ypenburgseboslaan,STADSENET,HLS0140,"Halte, NL:Q:42012601 Guirlande",REI,POH,KUITV,
3,3,960743,WERKORDER,Ypenburgseboslaan,STADSENET,HLS0172,"Halte, NL:Q:42015902 Laan van Hoornwijck",REI,POH,KUITV,
4,4,960744,WERKORDER,Brasserkade 223,STADSENET,HLS0131,"Halte, NL:Q:42011202 Defensie",REI,POH,KUITV,
5,5,960745,WERKORDER,Brasserkade 227A,STADSENET,HLS0130,"Halte, NL:Q:42011201 Defensie",REI,POH,KUITV,
6,6,960746,WERKORDER,Rijswijksewaterweg,STADSENET,HLS0219,"Halte, NL:Q:42020002 van Essendijk",REI,POH,KUITV,
7,7,960747,WERKORDER,Rijswijksewaterweg,STADSENET,HLS0218,"Halte, NL:Q:42020001 van Essendijk",REI,POH,KUITV,
8,8,960748,WERKORDER,Rijswijksewaterweg,STADSENET,HLS0127,"Halte, NL:Q:42010102 Bottgerwater",REI,POH,KUITV,
9,9,960749,WERKORDER,Rijswijksewaterweg,STADSENET,HLS0126,"Halte, NL:Q:42010101 Bottgerwater",REI,POH,KUITV,
10,10,960750,WERKORDER,Rijswijksewaterweg,STADSENET,HLS0336,"Halte, NL:Q:42072901 Waterweegbree",REI,POH,KUITV,
11,11,960751,WERKORDER,Rijswijksewaterweg,STADSENET,HLS0337,"Halte, NL:Q:42072902 Waterweegbree",REI,POH,KUITV,
12,12,960752,WERKORDER,Ypenburgseboslaan,STADSENET,HLS0141,"Halte, NL:Q:42012602 Guirlande",REI,POH,KUITV,
13,13,960753,WERKORDER,Ypenburgseboslaan,STADSENET,HLS0139,"Halte, NL:Q:42012502 Gruttosingel",REI,POH,KUITV,
14,14,960754,WERKORDER,Libbelsingel/leliekeverstraat,STADSENET,HLS0163,"Halte, NL:Q:42015001 Leliekeverstraat",REI,POH,KUITV,
15,15,960755,WERKORDER,Houtkade/Wilgenkade,STADSENET,HLS0207,"Halte, NL:Q:42018702 Rotonde Houtkade",REI,POH,KUITV,
16,16,960756,WERKORDER,Houtkade/Wilgenkade,STADSENET,HLS0206,"Halte, NL:Q:42018701 Rotonde Houtkade",REI,POH,KUITV,
17,17,960757,WERKORDER,Libbelsingel/leliekeverstraat,STADSENET,HLS0164,"Halte, NL:Q:42015002 Leliekeverstraat",REI,POH,KUITV,
18,18,960758,WERKORDER,Mosselsingel/Jacobsmantelstraat,STADSENET,HLS0133,"Halte, NL:Q:42011802 Eendenplein",REI,POH,KUITV,
19,19,960759,WERKORDER,Mosselsingel/Jacobsmantelstraat,STADSENET,HLS0132,"Halte, NL:Q:42011801 Eendenplein",REI,POH,KUITV,
20,20,960760,WERKORDER,Noordkrompsingel,STADSENET,HLS0214,"Halte, NL:Q:42019801 Veenweg",REI,POH,KUITV,
21,21,960761,WERKORDER,Noordkrompsingel,STADSENET,HLS0215,"Halte, NL:Q:42019802 Veenweg",REI,POH,KUITV,
22,22,960762,WERKORDER,Maanweg/Regulusweg,STADSENET,HLT7119,"Halte, NL:Q:32007119 Maanweg",REI,POH,KUITV,
23,23,960763,WERKORDER,Maanweg/Regulusweg,STADSENET,HLT7120,"Halte, NL:Q:32007120 Maanweg",REI,POH,KUITV,
24,24,960764,WERKORDER,Verlengde Melkwegstraat/Maanweg,UITBEH,HLT7107,"Halte, NL:Q:32007107 Saturnusstraat",REI,POH,KUITV,Verwijderen
