ID_MAXIMO;Dova_code; longitude;latitude;
HLT0203;NA;NA ;NA;
HLS0395;NL:Q:31003608;4.383.842;51.976.113;
HLS0393;NL:Q:31003609;4.379.791;51.981.498;
HLS0391;NL:Q:31003610;4.377.620;51.984.842;
HLS0392;NL:Q:31003626;4.377.639;51.984.617;
HLS0394;NL:Q:31003627;4.379.823;51.981.382;
HLS0396;NL:Q:31003628;4.383.769;51.976.121;
HLT0202;NL:Q:32000202;4.283.620;52.113.077;
HLT0207;NL:Q:32000207;4.289.232;52.115.844;
HLT0211;NL:Q:32000211;4.288.233;52.116.670;
HLT0212;NL:Q:32000212;4.289.282;52.116.761;
HLT0213;NL:Q:32000213;4.289.310;52.116.806;
HLT0214;NL:Q:32000214;4.289.382;52.116.843;
HLT0215;NL:Q:32000215;4.289.410;52.116.897;
HLT0216;NL:Q:32000216;4.289.453;52.116.942;
HLT0219;NL:Q:32000219;4.287.317;52.109.992;
HLT0220;NL:Q:32000220;4.288.068;52.109.747;
HLT0229;NL:Q:32000229;4.284.011;52.112.047;
HLT0303;NL:Q:32000303;4.297.212;52.101.751;
HLT0304;NL:Q:32000304;4.297.435;52.101.565;
HLT0309;NL:Q:32000309;4.306.603;52.109.370;
HLT0405;NL:Q:32000405;4.319.108;52.104.729;
HLT0406;NL:Q:32000406;4.317.923;52.104.215;
HLT0407;NL:Q:32000407;4.323.516;52.105.956;
HLT0408;NL:Q:32000408;4.323.166;52.105.359;
HLT0409;NL:Q:32000409;4.325.369;52.105.388;
HLT0410;NL:Q:32000410;4.318.902;52.105.159;
HLT0413;NL:Q:32000413;4.315.566;52.098.441;
HLT0414;NL:Q:32000414;4.315.853;52.098.641;
HLT0428;NL:Q:32000428;4.323.095;52.093.601;
HLT0429;NL:Q:32000429;4.324.033;52.094.068;
HLT0430;NL:Q:32000430;4.326.409;52.096.022;
HLT0431;NL:Q:32000431;4.326.403;52.096.265;
HLT0436;NL:Q:32000436;4.317.533;52.088.805;
HLT0437;NL:Q:32000437;4.319.583;52.089.741;
HLT0438;NL:Q:32000438;4.329.167;52.093.584;
HLT0439;NL:Q:32000439;4.330.236;52.092.803;
HLT0440;NL:Q:32000440;4.330.286;52.094.367;
HLT0447;NL:Q:32000447;4.315.542;52.091.529;
HLT0448;NL:Q:32000448;4.315.419;52.091.761;
HLT0507;NL:Q:32000507;4.297.872;52.087.250;
HLT0508;NL:Q:32000508;4.298.133;52.087.288;
HLT0509;NL:Q:32000509;4.299.010;52.087.251;
HLT0510;NL:Q:32000510;4.305.635;52.090.243;
HLT0511;NL:Q:32000511;4.305.544;52.089.765;
HLT0515;NL:Q:32000515;4.301.436;52.087.085;
HLT0516;NL:Q:32000516;4.302.489;52.087.598;
HLT0701;NL:Q:32000701;4.270.413;52.106.426;
HLT0710;NL:Q:32000710;4.270.935;52.104.211;
HLT0711;NL:Q:32000711;4.270.930;52.104.436;
HLT0732;NL:Q:32000732;4.270.283;52.096.457;
HLT0736;NL:Q:32000736;4.271.254;52.106.075;
HLT0744;NL:Q:32000744;4.263.884;52.093.232;
HLT0801;NL:Q:32000801;4.252.349;52.087.710;
HLT0802;NL:Q:32000802;4.252.527;52.088.161;
HLT0803;NL:Q:32000803;4.258.315;52.090.104;
HLT0804;NL:Q:32000804;4.257.331;52.089.753;
HLT0805;NL:Q:32000805;4.255.965;52.086.100;
HLT0806;NL:Q:32000806;4.255.624;52.086.294;
HLT0807;NL:Q:32000807;4.262.290;52.090.439;
