,OBJECTID,ID_MAXIMO,AREACODE,HALTENAAM,NLQNR,INSTAP_PWD_NOV_ALLE_PERRONS_19,MAX_INSTAP_PWD_DRUKSTE_UUR_19,MAX_INSTAP_PWD_24,MAAND_MAX_PWD_24,MAX_INSTAP_PWD_DRUKSTE_UUR_24,MAX_INSTAP_PER_UUR_24,UUR_MAX_24,MAAND_UUR_MAX_PWD_24,INSTAP_PWD_REF_MAAND,LIJNEN,BASIS,PLUS,TOP_,CATEGORIE,CODE_CATEGORIE,CODE_OVERSTAP,CODE_RECREATIE,CODE_WIJK,CODE_SEIZOEN,CODE_VISUALISATIE,CRITERIUM_OVERSTAP,CRITERIUM_RECREATIE,CRITERIUM_WIJK,CRITERIUM_SEIZOEN,AANTAL_INWONERS,INSTAPPERS,INST_INW,latitude,longitude
0,1,HLT0204,201,Kurhaus,NL:Q:32000204,1757.0,486.0,437,1717200000000,77,20,20,1717200000000,2095.0,2025-09-01 00:00:00,,2.0,,2.0,2,0,1,1,1,20111,,,Aan fietsroute,Spreiding instappers/maand,4091.0,153.142857,0.0374,52.113566970972,4.2838323827641
1,2,HLT0221,221,Gentsestraat,NL:Q:32000221,330.0,45.0,324,1733011200000,48,8,8,1706745600000,286.0,22-23,3.0,,,3.0,3,0,0,0,0,30000,,,,,5689.0,53.904762,0.0095,52.1105794052888,4.29012867864292
2,3,HLT0225,225,Doorniksestraat,NL:Q:32000225,83.0,16.0,100,1730419200000,23,15,15,1730419200000,65.0,22,3.0,,,3.0,3,0,0,0,0,30000,,,,,2711.0,15.047619,0.0056,52.1101260213315,4.29679152688367
3,4,HLT0305,305,Badhuisweg,NL:Q:32000305,19.0,3.0,44,1717200000000,20,13,13,1733011200000,22.0,22,3.0,,,3.0,3,0,0,0,0,30000,,,,,907.0,0.857143,0.0009,52.1027728036548,4.30097423457466
4,5,HLT0312,311,Plesmanweg,NL:Q:32000312,35.0,5.0,104,1725148800000,71,12,12,1725148800000,36.0,22,3.0,,,3.0,3,0,0,0,0,30000,,,,,558.0,2.428571,0.0044,52.1007369246396,4.30148787975103
5,6,HLT0404,403,HMC Bronovo,NL:Q:32000404,603.0,100.0,209,1727740800000,52,12,12,1704067200000,501.0,22-23-29-36,3.0,,,3.0,3,0,1,0,0,30100,,,,,2467.0,43.47619,0.0176,52.1035931062374,4.31796413410107
6,7,HLT0416,415,Ruychrocklaan,NL:Q:32000416,198.0,32.0,70,1714521600000,28,14,14,1727740800000,104.0,22-23-29,3.0,,,3.0,3,0,0,0,0,30000,,,,,1841.0,24.047619,0.0131,52.1001790236594,4.32193029175675
7,8,HLT0427,426,Jozef Israëlsplein,NL:Q:32000427,71.0,41.0,3,1709251200000,3,8,8,1704067200000,10.0,29,3.0,,,3.0,3,0,0,0,0,30000,,,,,2333.0,1.238095,0.0005,52.0921868243557,4.3195205259337
8,9,HLT0506,505,Riouwstraat,NL:Q:32000506,512.0,70.0,202,1717200000000,75,13,13,1722470400000,389.0,2025-09-01 00:00:00,3.0,,,3.0,3,0,0,0,0,30000,,,,,2263.0,90.571429,0.04,52.0947297501334,4.30794017014534
9,10,HLT0520,519,Javabrug,NL:Q:32000520,948.0,232.0,893,1730419200000,153,17,17,1709251200000,818.0,2025-09-01 00:00:00,,2.0,,2.0,2,0,0,0,0,20000,,,,,3330.0,121.809524,0.0366,52.0893832521457,4.31229599981853
10,11,HLT0604,603,Madurodam,NL:Q:32000604,16.0,5.0,266,1717200000000,70,17,17,1711929600000,15.0,22,3.0,,,3.0,3,0,1,0,1,30101,,,,Spreiding instappers/maand,252.0,0.238095,0.0009,52.0974605468231,4.3000957481723
11,12,HLT0706,706,Schev.slag/Beelden aan Zee,NL:Q:32000706,391.0,55.0,964,1722470400000,178,12,12,1704067200000,447.0,1,3.0,,,3.0,3,0,0,0,1,30001,,,,Spreiding instappers/maand,4401.0,53.095238,0.0121,52.1111752787205,4.28074796560509
12,13,HLT0714,714,Keizerstraat,NL:Q:32000714,790.0,109.0,962,1727740800000,164,23,23,1722470400000,870.0,1,3.0,,,3.0,3,0,0,0,0,30000,,,,,6299.0,122.714286,0.0195,52.104092290617,4.2767961160547
13,14,HLT0718,718,Duinstraat,NL:Q:32000718,115.0,13.0,159,1722470400000,42,23,23,1722470400000,122.0,22,3.0,,,3.0,3,0,0,0,0,30000,,,,,4651.0,12.857143,0.0028,52.1009544842491,4.27373983210292
14,15,HLT0722,722,Duinstraat,NL:Q:32000722,654.0,90.0,723,1711929600000,91,17,17,1709251200000,676.0,1,3.0,,,3.0,3,0,0,0,0,30000,,,,,4762.0,90.857143,0.0191,52.1016326303442,4.27932271109937
