ID_MAXIMO,Route,Order,Name,Dova_code,Night_shift,longitude,latitude,ID,Cleaning_time_20,Cleaning_time_code,Cleaning_time_abri
Depot,NA,1,NA,NA,100,4.34894911389561,52.0653854823115,0,0,0,0
HLS0138,REI-D101,1,Ypenburgseboslaan,NL:Q:42012501,0,4.376993,52.050768,1,20,20,20
HLS0140,REI-D101,2,Ypenburgseboslaan,NL:Q:42012601,0,4.370949,52.046627,2,20,20,20
HLS0172,REI-D101,3,Ypenburgseboslaan,NL:Q:42015902,0,4.3647,52.043238,3,20,20,20
HLS0131,REI-D101,4,Brasserkade 223,NL:Q:42011202,0,4.362007,52.02779,4,20,20,20
HLS0130,REI-D101,5,Brasserkade 227A,NL:Q:42011201,0,4.362162,52.028034,5,20,20,13
HLS0219,REI-D101,6,Rijswijksewaterweg,NL:Q:42020002,0,4.366838,52.031948,6,20,20,20
HLS0218,REI-D101,7,Rijswijksewaterweg,NL:Q:42020001,0,4.367013,52.031941,7,20,20,20
HLS0127,REI-D101,8,Rijswijksewaterweg,NL:Q:42010102,0,4.374758,52.035513,8,20,20,20
HLS0126,REI-D101,9,Rijswijksewaterweg,NL:Q:42010101,0,4.375093,52.035507,9,20,20,13
HLS0336,REI-D101,10,Rijswijksewaterweg,NL:Q:42072901,0,4.383181,52.032287,10,20,20,13
HLS0337,REI-D101,11,Rijswijksewaterweg,NL:Q:42072902,0,4.383063,52.032376,11,20,20,13
HLS0141,REI-D101,12,Ypenburgseboslaan,NL:Q:42012602,0,4.371153,52.046673,12,20,20,20
HLS0139,REI-D101,13,Ypenburgseboslaan,NL:Q:42012502,0,4.377239,52.05086,13,20,20,20
HLS0163,REI-D101,14,Libbelsingel/leliekeverstraat,NL:Q:42015001,0,4.415457,52.062058,14,20,20,20
HLS0207,REI-D101,15,Houtkade/Wilgenkade,NL:Q:42018702,0,4.416644,52.059075,15,20,20,20
HLS0206,REI-D101,16,Houtkade/Wilgenkade,NL:Q:42018701,0,4.416687,52.05912,16,20,20,20
HLS0164,REI-D101,17,Libbelsingel/leliekeverstraat,NL:Q:42015002,0,4.41544,52.062148,17,20,20,20
HLS0133,REI-D101,18,Mosselsingel/Jacobsmantelstraat,NL:Q:42011802,0,4.410877,52.065427,18,20,20,20
HLS0132,REI-D101,19,Mosselsingel/Jacobsmantelstraat,NL:Q:42011801,0,4.410286,52.065791,19,20,20,13
HLS0214,REI-D101,20,Noordkrompsingel,NL:Q:42019801,0,4.406458,52.068105,20,20,20,20
HLS0215,REI-D101,21,Noordkrompsingel,NL:Q:42019802,0,4.406224,52.06813,21,20,20,20
HLT7119,REI-D101,22,Maanweg/Regulusweg,NL:Q:32007119,0,4.352312,52.067093,22,20,20,20
HLT7120,REI-D101,23,Maanweg/Regulusweg,NL:Q:32007120,0,4.352534,52.066961,23,20,20,13
HLT3907,REI-D101,24,Zonweg 9,NL:Q:32003907,0,4.34064110329787,52.0667989654997,24,20,15,20
HLT3908,REI-D101,25,Zonweg 9,NL:Q:32003908,0,4.340601,52.067071,25,20,20,13
HLS0184,REI-D102,1,Laan van Wateringseveld/Bostonsingel,NL:Q:42017101,0,4.283969,52.034491,26,20,20,20
HLS0155,REI-D102,2,Laan van Wateringse Veld 583,NL:Q:42013801,0,4.285972,52.031265,27,20,20,20
HLS0194,REI-D102,3,Laan van Wateringse Veld 925,NL:Q:42017701,0,4.29007,52.026368,28,20,20,20
HLS0161,REI-D102,4,Laan van Wateringse Veld 1209,NL:Q:42014601,0,4.293527,52.022661,29,20,20,20
HLS0198,REI-D102,5,Laan van Wateringse Veld 1507,NL:Q:42017901,0,4.297951,52.019862,30,20,20,20
HLS0202,REI-D102,6,Laan van wateringse Veld/Paul Steenbergenlaan,NL:Q:42018201,0,4.302055,52.018264,31,20,20,20
HLS0203,REI-D102,7,Laan van wateringse Veld/Waterkersvijver,NL:Q:42018202,0,4.301737,52.018755,32,20,20,20
HLS0199,REI-D102,8,Laan van Wateringse Veld 1444,NL:Q:42017902,0,4.296792,52.020822,33,20,20,20
HLS0162,REI-D102,9,Laan van Wateringse Veld 1048,NL:Q:42014602,0,4.293806,52.023167,34,20,20,20
HLS0195,REI-D102,10,Laan van Wateringse Veld 916,NL:Q:42017702,0,4.289974,52.026727,35,20,20,20
HLS0156,REI-D102,11,Laan van Wateringse Veld 458,NL:Q:42013802,0,4.286533,52.031549,36,20,20,20
HLS0185,REI-D102,12,Laan van Wateringseveld / Havannasingel,NL:Q:42017102,0,4.284155,52.03461,37,20,20,20
HLT3343,REI-D102,13,Erasmusweg 441,NL:Q:32003343,0,4.271386624325,52.0360149317233,38,20,15,13
HLT3340,REI-D102,14,Erasmusweg/Beresteinlaan,NL:Q:32003340,0,4.2660258276495,52.033319918307,39,20,15,13
HLT3371,REI-D102,15,Beresteinlaan 204,NL:Q:32003371,0,4.267006,52.033243,40,20,20,13
HLT3357,REI-D102,16,Erasmusweg 2000,NL:Q:32003357,0,4.26051893417767,52.0305256626575,41,20,15,20
HLT3339,REI-D102,17,Erasmusweg 2000,NL:Q:32003339,0,4.26120043377742,52.0309099898917,42,20,15,20
HLT3341,REI-D102,18,Erasmusweg/Beresteinlaan,NL:Q:32003341,0,4.26740594541066,52.0337477588673,43,20,15,20
HLT3342,REI-D102,19,Erasmusweg 441,NL:Q:32003342,0,4.27168317229995,52.0359325997125,44,20,15,20
HLT3612,REI-D102,20,Loevesteinlaan 895,NL:Q:32003612,0,4.29001010596668,52.0444938985215,45,20,15,20
HLT3613,REI-D102,21,Loevesteinlaan 588,NL:Q:32003613,0,4.29118082368249,52.0440387053657,46,20,15,20
HLS0142,REI-D102,22,Midachtenweg/Guntersteinweg,NL:Q:42012701,0,4.30322,52.047793,47,20,20,20
HLS0143,REI-D102,23,Midachtenweg/Guntersteinweg,NL:Q:42012702,0,4.303809,52.046972,48,20,20,20
HLT4015,REI-D102,24,Leyweg/Carry van Bruggenhof,NL:Q:32004015,0,4.285574,52.040322,49,20,20,20
HLT4016,REI-D102,25,Leyweg/Carry van Bruggenhof,NL:Q:32004016,0,4.28561,52.040044,50,20,20,20
HLT3912,REI-D103,1,Brinckhorstlaan 170,NL:Q:32003912,0,4.336626,52.069903,51,20,20,13
HLT3903,REI-D103,2,Brinckhorstlaan 46,NL:Q:32003903,0,4.33330205409404,52.0729117774667,52,20,15,13
HLT3904,REI-D103,3,Brinckhorstlaan,NL:Q:32003904,0,4.33434179462147,52.0716611773701,53,20,15,13
HLT3906,REI-D103,4,Mecuriusweg/Binckhorstlaan,NL:Q:32003906,0,4.3364707744107,52.0701556590412,54,20,15,20
HLT3905,REI-D103,5,Brinckhorstlaan 125,NL:Q:32003905,0,4.33705246394757,52.0689586013162,55,20,15,20
HLS0307,REI-D103,6,Heulweg 45 Westland/Middendelfland,NL:Q:42058401,0,4.269523,52.022319,56,20,20,13
HLS0308,REI-D103,7,Heulweg 54 Westland/Middendelfland,NL:Q:42058402,0,4.269222,52.022127,57,20,20,13
HLS0309,REI-D103,8,Herenstraat 2 Westland/Middendelfland,NL:Q:42058501,0,4.274822,52.02369,58,20,20,13
HLS0304,REI-D103,9,Herenstraat 85 Westland/Middendelfland,NL:Q:42058202,0,4.281466,52.02547,59,20,20,13
HLS0305,REI-D103,10,Herenstraat 85 Westland/Middendelfland,NL:Q:42058201,0,4.280727,52.025301,60,20,20,13
HLS0235,REI-D103,11,Bezuidenhoutseweg 480,NL:Q:42022701,0,4.36135,52.100359,61,20,20,20
HLS0236,REI-D103,12,Bezuidenhoutseweg 480,NL:Q:42022702,0,4.360956,52.100355,62,20,20,20
HLS0152,REI-D103,13,Bezuidenhoutseweg 429,NL:Q:42013302,0,4.358048,52.098631,63,20,20,20
HLS0205,REI-D103,14,Bezuidenhoutseweg/Reigersbergenweg,NL:Q:42018502,0,4.349589,52.093316,64,20,20,20
HLS0129,REI-D103,15,Bezuidenhoutseweg 335,NL:Q:42010902,0,4.339957,52.090202,65,20,20,20
HLS0183,REI-D103,16,Bezuidenhoutseweg 150,NL:Q:42017002,0,4.333882,52.087325,66,20,20,13
HLS0125,REI-D103,17,Bezuidenhoutseweg 30,NL:Q:42009902,0,4.328673,52.084834,67,20,20,13
HLS0362,REI-D103,18,Benoordenhoutseweg/Willem Witsenplein,NL:Q:54000670,0,4.331293,52.092507,68,20,20,20
HLS0366,REI-D103,19,Benoordenhoutseweg,NL:Q:54142010,0,4.335599,52.094361,69,20,20,13
HLS0367,REI-D103,20,Benoordenhoutseweg/Leidsestraatweg,NL:Q:54142030,0,4.347509,52.09932,70,20,20,13
HLS0365,REI-D103,21,Benoordenhoutseweg/Viaduct N14,NL:Q:54140330,0,4.358149,52.105005,71,20,20,13
HLS0368,REI-D103,22,Benoordenhoutseweg/Waaldorperlaan,NL:Q:54142040,0,4.346273,52.099103,72,20,20,20
HLS0364,REI-D103,23,Benoordenhoutseweg 254,NL:Q:54000730,0,4.334929,52.094274,73,20,20,13
HLS0363,REI-D103,24,Benoordenhoutseweg 227,NL:Q:54000680,0,4.329667,52.09216,74,20,20,13
HLS0124,REI-D103,25,Bezuidenhoutseweg 30,NL:Q:42009901,0,4.329035,52.084945,75,20,20,13
HLS0182,REI-D103,26,Bezuidenhoutseweg 225,NL:Q:42017001,0,4.335973,52.088369,76,20,20,13
HLS0128,REI-D103,27,Bezuidenhoutseweg 379,NL:Q:42010901,0,4.34088,52.090669,77,20,20,20
HLS0204,REI-D103,28,Bezuidenhoutseweg/Reigersbergenweg,NL:Q:42018501,0,4.350785,52.093965,78,20,20,20
HLS0151,REI-D103,29,Bezuidenhoutseweg 429,NL:Q:42013301,0,4.357855,52.098108,79,20,20,20
HLT2636,REI-D104,1,Theresiastraat 162,NL:Q:32002636,0,4.33575583046536,52.0855605236657,80,20,15,20
HLT2504,REI-D104,2,Vlaskamp 520,NL:Q:32002504,0,4.35070206639716,52.092189557212,81,20,15,20
HLT2502,REI-D104,3,Vlaskamp/Haverkamp,NL:Q:32002502,0,4.34746839776514,52.0909152755171,82,20,15,20
HLT2641,REI-D104,4,De Eerensplein 10,NL:Q:32002641,0,4.344221098045,52.0893228656168,83,20,15,13
HLT2640,REI-D104,5,Theresiastraat 356-312,NL:Q:32002640,0,4.34053603045142,52.0878914018656,84,20,15,13
HLT2635,REI-D104,6,Theresiastraat 162,NL:Q:32002635,0,4.33584919834467,52.085735494864,85,20,15,20
HLT2639,REI-D104,7,Theresiastraat 284,NL:Q:32002639,0,4.3395330165364,52.0872884352986,86,20,15,20
HLT2642,REI-D104,8,De Eerensplein 29,NL:Q:32002642,0,4.34439808585869,52.089182696308,87,20,15,20
HLT2501,REI-D104,9,Vlaskamp/Haverkamp,NL:Q:32002501,0,4.34728061693831,52.0906293138396,88,20,15,20
HLT2503,REI-D104,10,Diamanthorst 43,NL:Q:32002503,0,4.35244085851387,52.0926541492052,89,20,15,20
HLT2506,REI-D104,11,Diamanthorst 187,NL:Q:32002506,0,4.3559562781038,52.0943794596975,90,20,15,13
HLT2505,REI-D104,12,Diamanthorst 187,NL:Q:32002505,0,4.35615315934329,52.0943226209363,91,20,15,13
HLT2507,REI-D104,13,Diamanthorst/Komalijnhorst,NL:Q:32002507,0,4.36013991659398,52.0964923707625,92,20,15,13
HLT2508,REI-D104,14,Diamanthorst/Komalijnhorst,NL:Q:32002508,0,4.36071909051003,52.09652487987,93,20,15,20
HLS0157,REI-D104,15,Prinses Beatrixlaan 3,NL:Q:42014101,0,4.332999,52.081448,94,20,20,20
HLS0316,REI-D104,16,Prinses Beatrixlaan 15,NL:Q:42067702,0,4.335131,52.079507,95,20,20,20
HLS0147,REI-D104,17,Prinses Beatrixlaan 31,NL:Q:42013101,0,4.337596,52.077642,96,20,20,20
HLS0148,REI-D104,18,Prinses Beatrixlaan 800,NL:Q:42013102,0,4.337889,52.077599,97,20,20,13
HLS0315,REI-D104,19,Prinses Beatrixlaan 400,NL:Q:42067701,0,4.334246,52.080542,98,20,20,13
HLT2649,REI-D104,20,Laan van Nieuw Oost Indië 142,NL:Q:32002649,0,4.33931637114307,52.0843828889647,99,20,15,20
