,route_ID,cleaning_time,original_time,original_feas,reordered_time,reordered_feas,improvement,total_time_original,total_time_reordered
0,REI-D101,495,48.156666666666666,0,39.67333333333333,0,8.483333333333334,543.1566666666666,534.6733333333333
1,REI-D102,460,50.54333333333334,0,41.38333333333333,0,9.160000000000004,510.54333333333335,501.3833333333333
2,REI-D103,560,73.42833333333334,0,62.62666666666668,0,10.801666666666662,633.4283333333333,622.6266666666667
3,REI-D104,340,30.25333333333333,1,20.701666666666664,1,9.551666666666666,370.25333333333333,360.70166666666665
4,REI-D105,293,32.83333333333333,1,31.419999999999998,1,1.4133333333333304,325.8333333333333,324.42
5,REI-D106,450,33.733333333333334,0,29.988333333333337,0,3.7449999999999974,483.73333333333335,479.98833333333334
6,REI-D107,415,46.17833333333333,0,30.928333333333335,0,15.249999999999993,461.17833333333334,445.92833333333334
7,REI-D108,356,48.00999999999999,1,44.17333333333333,1,3.836666666666659,404.01,400.17333333333335
8,REI-D109,375,41.419999999999995,1,39.55,1,1.8699999999999974,416.42,414.55
9,REI-D110,280,43.325,1,35.745,1,7.580000000000005,323.325,315.745
10,REI-D111,300,43.17166666666667,1,36.62166666666666,1,6.550000000000004,343.1716666666667,336.62166666666667
11,REI-D112,370,57.365,0,46.39333333333334,1,10.971666666666664,427.365,416.3933333333333
12,REI-D113,425,52.74666666666666,0,45.82666666666667,0,6.919999999999995,477.74666666666667,470.82666666666665
13,REI-D114,350,54.88166666666666,1,42.16666666666666,1,12.715000000000003,404.88166666666666,392.16666666666663
14,REI-D115,375,45.324999999999996,0,36.455000000000005,1,8.86999999999999,420.325,411.455
15,REI-D116,466,36.37833333333332,0,29.793333333333333,0,6.58499999999999,502.37833333333333,495.79333333333335
16,REI-D201,610,47.381666666666675,0,38.125,0,9.256666666666675,657.3816666666667,648.125
17,REI-D202,550,47.33500000000001,0,44.358333333333334,0,2.9766666666666737,597.335,594.3583333333333
18,REI-D203,540,46.959999999999994,0,42.54833333333333,0,4.411666666666662,586.96,582.5483333333333
19,REI-D204,400,49.41,0,46.54,0,2.8699999999999974,449.40999999999997,446.54
20,REI-D205,395,47.78,0,42.105000000000004,0,5.674999999999997,442.78,437.105
21,REI-D301,490,65.64500000000001,0,60.67833333333331,0,4.966666666666697,555.645,550.6783333333333
22,REI-D302,450,56.983333333333334,0,51.11833333333333,0,5.865000000000002,506.98333333333335,501.11833333333334
23,REI-D303,440,63.81666666666667,0,59.82000000000001,0,3.9966666666666626,503.81666666666666,499.82
24,REI-D304,280,78.91166666666666,1,50.33166666666667,1,28.57999999999999,358.91166666666663,330.33166666666665
25,REI-N101,339,34.620000000000005,1,28.780000000000005,1,5.84,373.62,367.78000000000003
26,REI-N102,372,64.74333333333333,0,57.37666666666666,0,7.366666666666667,436.74333333333334,429.37666666666667
27,REI-N103,344,40.84666666666667,1,36.65333333333333,1,4.193333333333342,384.8466666666667,380.6533333333333
28,REI-N104,400,39.63333333333334,0,29.61333333333333,0,10.02000000000001,439.6333333333333,429.61333333333334
29,REI-N105,374,53.21666666666666,0,42.76499999999999,1,10.451666666666668,427.21666666666664,416.765
30,REI-N106,370,50.99333333333334,0,35.498333333333335,1,15.495000000000005,420.99333333333334,405.49833333333333
31,REI-N107,314,21.35666666666667,1,16.1,1,5.256666666666668,335.3566666666667,330.1
32,REI-N108,332,61.120000000000005,1,45.88833333333333,1,15.231666666666676,393.12,377.8883333333333
33,REI-N109,304,41.00333333333333,1,28.27666666666666,1,12.72666666666667,345.00333333333333,332.27666666666664
34,REI-N110,334,43.045,1,37.23499999999999,1,5.810000000000009,377.045,371.235
35,REI-N111,296,50.208333333333336,1,41.84166666666667,1,8.366666666666667,346.2083333333333,337.8416666666667
36,REI-N112,271,45.830000000000005,1,36.18666666666666,1,9.643333333333345,316.83,307.18666666666667
37,REI-N113,315,49.401666666666664,1,38.79166666666667,1,10.609999999999992,364.40166666666664,353.7916666666667
38,REI-N114,251,32.63,1,26.09,1,6.540000000000003,283.63,277.09
39,REI-N115,333,43.82833333333333,1,32.190000000000005,1,11.638333333333328,376.8283333333333,365.19
40,REI-N116,333,41.169999999999995,1,29.548333333333332,1,11.621666666666663,374.17,362.54833333333335
41,REI-N117,378,45.45666666666667,0,33.163333333333334,1,12.293333333333337,423.45666666666665,411.16333333333336
42,REI-N118,338,31.281666666666663,1,26.518333333333334,1,4.763333333333328,369.28166666666664,364.5183333333333
43,REI-N119,238,32.00333333333333,1,27.033333333333335,1,4.969999999999995,270.00333333333333,265.03333333333336
44,REI-N120,292,29.478333333333335,1,30.3,1,-0.8216666666666654,321.47833333333335,322.3
45,REI-N121,211,30.27166666666667,1,22.016666666666666,1,8.255000000000003,241.27166666666668,233.01666666666665
46,REI-N122,408,41.823333333333345,0,35.971666666666664,0,5.851666666666681,449.8233333333333,443.9716666666667
47,REI-N123,335,32.88333333333333,1,30.791666666666668,1,2.091666666666665,367.8833333333333,365.7916666666667
48,REI-N201,286,42.16333333333333,1,38.175,1,3.9883333333333297,328.1633333333333,324.175
49,REI-N202,226,37.263333333333335,1,33.93500000000001,1,3.328333333333326,263.2633333333333,259.935
