ID_MAXIMO,Route,n_in_run
HLT3847,REI-D105,4
HLT0734,REI-D108,2
HLT1406,REI-D112,2
HLT1408,REI-D112,2
HLT3413,REI-D115,3
HLT3414,REI-D115,2
HLS0145,REI-D116,2
HLS0032,REI-D201,2
HLS0013,REI-D201,2
HLS0052,REI-D201,2
HLS0061,REI-D202,2
HLS0100,REI-D203,2
HLS0063,REI-D203,2
HLS0041,REI-D204,2
HLS0045,REI-D204,2
HLS0355,REI-D205,2
HLS0344,REI-D205,2
HLS0346,REI-D205,2
HLS0016,REI-D205,2
HLS0272,REI-D301,2
HLS0268,REI-D301,2
HLS0237,REI-D301,2
HLS0244,REI-D302,2
HLS0255,REI-D304,2
HLS0248,REI-D304,2
HLT9591,REI-N101,2
HLT9841,REI-N101,2
HLT5940,REI-N102,2
HLT5941,REI-N102,2
HLT0708,REI-N103,2
HLT0601,REI-N103,2
HLT2813,REI-N104,2
HLT2812,REI-N104,2
HLT2647,REI-N105,2
HLT2648,REI-N105,2
HLT2659,REI-N105,2
HLT2658,REI-N105,2
HLT3839,REI-N107,2
HLT3840,REI-N107,2
HLT3809,REI-N107,2
HLT3810,REI-N107,2
HLT3823,REI-N107,2
HLT3824,REI-N107,2
HLT2602,REI-N108,2
HLT3424,REI-N109,2
HLT3425,REI-N109,2
HLT3403,REI-N110,2
HLT3404,REI-N110,2
HLT3401,REI-N110,2
HLT3402,REI-N110,2
HLT3311,REI-N111,2
HLT3312,REI-N111,2
HLT3310,REI-N111,2
HLT3305,REI-N111,2
HLT3350,REI-N111,2
HLT1712,REI-N111,2
HLT1708,REI-N111,2
HLT1218,REI-N112,2
HLT1217,REI-N112,2
HLT1213,REI-N112,2
HLT1214,REI-N112,2
HLT1903,REI-N112,2
HLT1904,REI-N112,2
HLT1420,REI-N112,2
HLT1419,REI-N112,2
HLT1424,REI-N113,2
HLT1416,REI-N113,2
HLT1801,REI-N113,2
HLT1813,REI-N113,2
HLT3130,REI-N114,2
HLT3129,REI-N114,2
HLT2004,REI-N115,2
HLT2010,REI-N115,2
HLT2011,REI-N115,2
HLT2212,REI-N116,2
HLT2213,REI-N116,2
HLT2301,REI-N116,2
HLT2832,REI-N117,2
HLT2833,REI-N117,2
HLT2851,REI-N117,2
HLT2919,REI-N117,2
HLT2932,REI-N117,2
HLT2931,REI-N117,2
HLT2908,REI-N117,2
HLT2822,REI-N118,2
HLT2820,REI-N118,2
HLT2824,REI-N118,2
HLT2823,REI-N118,2
HLT2828,REI-N118,2
HLT3213,REI-N119,2
HLT3214,REI-N119,2
HLT3109,REI-N119,2
HLT3110,REI-N119,2
HLT3003,REI-N119,2
HLT3004,REI-N119,2
HLT2904,REI-N119,2
HLT2903,REI-N119,2
HLT2872,REI-N120,4
HLT2871,REI-N120,2
HLT2928,REI-N120,2
HLT2927,REI-N120,2
HLT2921,REI-N120,2
HLT2922,REI-N120,3
HLT2706,REI-N120,2
HLS0389,REI-N201,2
HLT9018,REI-N202,2
