ID_MAXIMO,Route,Order,Night_shift,longitude,latitude,ID,Service_time
Depot,,0,100,4.34894911389561,52.0653854823115,0,0
HLS0138,1.0,1,0,4.376993,52.050768,1,20
HLS0140,1.0,2,0,4.370949,52.046627,2,20
HLS0172,1.0,3,0,4.3647,52.043238,3,15
HLS0131,1.0,4,0,4.362007,52.02779,4,20
HLS0130,1.0,5,0,4.362162,52.028034,5,9
HLS0219,1.0,6,0,4.366838,52.031948,6,20
HLS0218,1.0,7,0,4.367013,52.031941,7,20
HLS0127,1.0,8,0,4.374758,52.035513,8,15
HLS0126,1.0,9,0,4.375093,52.035507,9,9
HLS0336,1.0,10,0,4.383181,52.032287,10,9
HLS0337,1.0,11,0,4.383063,52.032376,11,9
HLS0141,1.0,12,0,4.371153,52.046673,12,15
HLS0139,1.0,13,0,4.377239,52.05086,13,15
HLS0163,1.0,14,0,4.415457,52.062058,14,20
HLS0207,1.0,15,0,4.416644,52.059075,15,15
HLS0206,1.0,16,0,4.416687,52.05912,16,15
HLS0164,1.0,17,0,4.41544,52.062148,17,15
HLS0133,1.0,18,0,4.410877,52.065427,18,20
HLS0132,1.0,19,0,4.410286,52.065791,19,9
HLS0214,1.0,20,0,4.406458,52.068105,20,15
HLS0215,1.0,21,0,4.406224,52.06813,21,20
HLT7119,1.0,22,0,4.352312,52.067093,22,20
HLT7120,1.0,23,0,4.352534,52.066961,23,9
HLT3907,1.0,24,0,4.34064110329787,52.0667989654997,24,20
HLT3908,1.0,25,0,4.340601,52.067071,25,9
HLS0184,2.0,1,0,4.283969,52.034491,26,15
HLS0155,2.0,2,0,4.285972,52.031265,27,15
HLS0194,2.0,3,0,4.29007,52.026368,28,15
HLS0161,2.0,4,0,4.293527,52.022661,29,15
HLS0198,2.0,5,0,4.297951,52.019862,30,15
HLS0202,2.0,6,0,4.302055,52.018264,31,20
HLS0203,2.0,7,0,4.301737,52.018755,32,15
HLS0199,2.0,8,0,4.296792,52.020822,33,15
HLS0162,2.0,9,0,4.293806,52.023167,34,15
HLS0195,2.0,10,0,4.289974,52.026727,35,15
HLS0156,2.0,11,0,4.286533,52.031549,36,15
HLS0185,2.0,12,0,4.284155,52.03461,37,15
HLT3343,2.0,13,0,4.271386624325,52.0360149317233,38,9
HLT3340,2.0,14,0,4.2660258276495,52.033319918307,39,9
HLT3371,2.0,15,0,4.267006,52.033243,40,9
HLT3357,2.0,16,0,4.26051893417767,52.0305256626575,41,20
HLT3339,2.0,17,0,4.26120043377742,52.0309099898917,42,20
HLT3341,2.0,18,0,4.26740594541066,52.0337477588673,43,15
HLT3342,2.0,19,0,4.27168317229995,52.0359325997125,44,20
HLT3612,2.0,20,0,4.29001010596668,52.0444938985215,45,20
HLT3613,2.0,21,0,4.29118082368249,52.0440387053657,46,20
HLS0142,2.0,22,0,4.30322,52.047793,47,20
HLS0143,2.0,23,0,4.303809,52.046972,48,15
HLT4015,2.0,24,0,4.285574,52.040322,49,15
HLT4016,2.0,25,0,4.28561,52.040044,50,15
HLT3912,3.0,1,0,4.336626,52.069903,51,9
HLT3903,3.0,2,0,4.33330205409404,52.0729117774667,52,9
HLT3904,3.0,3,0,4.33434179462147,52.0716611773701,53,9
HLT3906,3.0,4,0,4.3364707744107,52.0701556590412,54,15
HLT3905,3.0,5,0,4.33705246394757,52.0689586013162,55,15
HLS0307,3.0,6,0,4.269523,52.022319,56,9
HLS0308,3.0,7,0,4.269222,52.022127,57,9
HLS0309,3.0,8,0,4.274822,52.02369,58,9
HLS0304,3.0,9,0,4.281466,52.02547,59,9
HLS0305,3.0,10,0,4.280727,52.025301,60,9
HLS0235,3.0,11,0,4.36135,52.100359,61,15
HLS0236,3.0,12,0,4.360956,52.100355,62,15
HLS0152,3.0,13,0,4.358048,52.098631,63,15
HLS0205,3.0,14,0,4.349589,52.093316,64,20
HLS0129,3.0,15,0,4.339957,52.090202,65,15
HLS0183,3.0,16,0,4.333882,52.087325,66,9
HLS0125,3.0,17,0,4.328673,52.084834,67,9
HLS0362,3.0,18,0,4.331293,52.092507,68,20
HLS0366,3.0,19,0,4.335599,52.094361,69,9
HLS0367,3.0,20,0,4.347509,52.09932,70,9
HLS0365,3.0,21,0,4.358149,52.105005,71,9
HLS0368,3.0,22,0,4.346273,52.099103,72,15
HLS0364,3.0,23,0,4.334929,52.094274,73,9
HLS0363,3.0,24,0,4.329667,52.09216,74,9
HLS0124,3.0,25,0,4.329035,52.084945,75,9
HLS0182,3.0,26,0,4.335973,52.088369,76,9
HLS0128,3.0,27,0,4.34088,52.090669,77,20
HLS0204,3.0,28,0,4.350785,52.093965,78,20
HLS0151,3.0,29,0,4.357855,52.098108,79,20
HLT2636,4.0,1,0,4.33575583046536,52.0855605236657,80,20
HLT2504,4.0,2,0,4.35070206639716,52.092189557212,81,20
HLT2502,4.0,3,0,4.34746839776514,52.0909152755171,82,15
HLT2641,4.0,4,0,4.344221098045,52.0893228656168,83,9
HLT2640,4.0,5,0,4.34053603045142,52.0878914018656,84,9
HLT2635,4.0,6,0,4.33584919834467,52.085735494864,85,20
HLT2639,4.0,7,0,4.3395330165364,52.0872884352986,86,15
HLT2642,4.0,8,0,4.34439808585869,52.089182696308,87,20
HLT2501,4.0,9,0,4.34728061693831,52.0906293138396,88,15
HLT2503,4.0,10,0,4.35244085851387,52.0926541492052,89,20
HLT2506,4.0,11,0,4.3559562781038,52.0943794596975,90,9
HLT2505,4.0,12,0,4.35615315934329,52.0943226209363,91,9
HLT2507,4.0,13,0,4.36013991659398,52.0964923707625,92,9
HLT2508,4.0,14,0,4.36071909051003,52.09652487987,93,20
HLS0157,4.0,15,0,4.332999,52.081448,94,20
HLS0316,4.0,16,0,4.335131,52.079507,95,15
HLS0147,4.0,17,0,4.337596,52.077642,96,15
HLS0148,4.0,18,0,4.337889,52.077599,97,9
HLS0315,4.0,19,0,4.334246,52.080542,98,9
HLT2649,4.0,20,0,4.33931637114307,52.0843828889647,99,20
HLT2637,4.0,21,0,4.33684134900341,52.0865157166829,100,20
HLT3844,5.0,1,0,4.3120325933739,52.0582038775979,101,9
HLT3843,5.0,2,0,4.31227534198531,52.0580301651399,102,20
HLT3858,5.0,3,0,4.31476386024955,52.0647737440185,103,15
HLT3857,5.0,4,0,4.31534220608393,52.0650114218305,104,15
HLT3860,5.0,5,0,4.31860823810236,52.0669240153178,105,9
HLT3859,5.0,6,0,4.31862063254475,52.0667390942887,106,20
HLT3847,5.0,7,0,4.3226077914308,52.068526848567,107,64
HLT2874,5.0,8,0,4.30896562829692,52.0813951847169,108,20
HLT2873,5.0,9,0,4.30955207869815,52.0813797306583,109,15
HLT2857,5.0,10,0,4.3181708455341,52.0762761181492,110,20
HLT2858,5.0,11,0,4.320234,52.077117,111,9
HLT3820,5.0,12,0,4.32176434430744,52.0580731595153,112,20
HLT3833,5.0,13,0,4.32339259232234,52.0557150313279,113,9
HLT3834,5.0,14,0,4.32384185127498,52.0557310434146,114,15
HLT3819,5.0,15,0,4.32137820675742,52.0587886410883,115,15
HLT3807,5.0,16,0,4.31843417672131,52.0611665389729,116,15
HLT3808,5.0,17,0,4.31835416602612,52.0610015648897,117,20
HLT2633,6.0,1,0,4.33298454463528,52.0844643197803,118,20
HLT2634,6.0,2,0,4.33328306724958,52.0844686259132,119,20
HLT2631,6.0,3,0,4.33006987364627,52.0830736144388,120,20
HLT2632,6.0,4,0,4.33092356249137,52.0834327104532,121,20
HLT2638,6.0,5,0,4.33736218862579,52.0859212517317,122,15
HLT2650,6.0,6,0,4.33930181540872,52.0842494031283,123,20
HLS0158,6.0,7,0,4.331895,52.081878,124,20
HLT0447,6.0,8,0,4.315542,52.091529,125,9
HLT0448,6.0,9,0,4.315419,52.091761,126,9
HLT0436,6.0,10,0,4.317533,52.088805,127,20
HLT0437,6.0,11,0,4.319583,52.089741,128,9
HLT0427,6.0,12,0,4.3195205259337,52.0921868243557,129,9
HLT0426,6.0,13,0,4.31957823867838,52.0924967656612,130,15
HLT0428,6.0,14,0,4.323095,52.093601,131,9
HLT0429,6.0,15,0,4.324033,52.094068,132,15
HLT0440,6.0,16,0,4.330286,52.094367,133,9
HLT0431,6.0,17,0,4.326403,52.096265,134,15
HLT0416,6.0,18,0,4.32193029175675,52.1001790236594,135,15
HLT0404,6.0,19,0,4.31796413410107,52.1035931062374,136,15
HLT0406,6.0,20,0,4.317923,52.104215,137,9
HLT0405,6.0,21,0,4.319108,52.104729,138,15
HLT0408,6.0,22,0,4.323166,52.105359,139,9
HLT0409,6.0,23,0,4.325369,52.105388,140,20
HLT0407,6.0,24,0,4.323516,52.105956,141,20
HLT0410,6.0,25,0,4.318902,52.105159,142,9
HLT0402,7.0,1,0,4.31501964749388,52.1012343283809,143,15
HLT0401,7.0,2,0,4.31490865154569,52.1010789016025,144,15
HLT0403,7.0,3,0,4.31814917046317,52.1031156242217,145,15
HLT0413,7.0,4,0,4.315566,52.098441,146,9
HLT0411,7.0,5,0,4.31159347098113,52.0966546050319,147,20
HLT0418,7.0,6,0,4.31305610533233,52.0945623928717,148,15
HLT0417,7.0,7,0,4.3128388294109,52.0952006965006,149,20
HLT0412,7.0,8,0,4.31308300599461,52.0973925733531,150,9
HLT0414,7.0,9,0,4.315853,52.098641,151,15
HLT0415,7.0,10,0,4.32156599743908,52.1001717034707,152,20
HLT0430,7.0,11,0,4.326409,52.096022,153,15
HLS0363,7.0,12,0,4.329667,52.09216,154,9
HLT0603,7.0,13,0,4.29987278824698,52.0973919192484,155,20
HLT0604,7.0,14,0,4.3000957481723,52.0974605468231,156,15
HLT0605,7.0,15,0,4.30115079503412,52.0946637597382,157,9
HLT0503,7.0,16,0,4.30207935405249,52.0939709414044,158,20
HLT0504,7.0,17,0,4.30265277689089,52.0933089689487,159,20
HLT2401,7.0,18,0,4.31645272209252,52.0848837193078,160,9
HLT2403,7.0,19,0,4.31683348723635,52.0848754088929,161,15
HLT0226,7.0,20,0,4.29813714441596,52.1090120342029,162,9
HLT0225,7.0,21,0,4.29679152688367,52.1101260213315,163,15
HLT0310,7.0,22,0,4.30846406104529,52.108784020229,164,15
HLT0309,7.0,23,0,4.306603,52.10937,165,15
HLT0224,7.0,24,0,4.29632906024534,52.111317114036,166,15
HLT0223,7.0,25,0,4.29589280932128,52.1112833139141,167,15
HLT0222,7.0,26,0,4.29093739612432,52.1106503366313,168,15
HLT0220,8.0,1,0,4.288068,52.109747,169,9
HLT0219,8.0,2,0,4.287317,52.109992,170,15
HLT0218,8.0,3,0,4.28741505902821,52.1121333071707,171,20
HLT0217,8.0,4,0,4.28726571567318,52.1121945199754,172,20
HLT0229,8.0,5,0,4.284011,52.112047,173,15
HLT0205,8.0,6,0,4.28368444242148,52.1120294402802,174,20
HLT0726,8.0,7,0,4.28868138576308,52.1070809777064,175,20
HLT0727,8.0,8,0,4.28913714381468,52.1072879836596,176,9
HLT0725,8.0,9,0,4.28639333811982,52.104617517952,177,20
HLT0734,8.0,10,0,4.28310135961231,52.1014730771013,178,16
HLT0724,8.0,11,0,4.28629427503056,52.1040868685722,179,15
HLT3201,8.0,12,0,4.25988473489936,52.0622454150696,180,15
HLT3202,8.0,13,0,4.26084791879404,52.0622208895183,181,15
HLT1924,8.0,14,0,4.25792464337325,52.063676852156,182,15
HLT1914,8.0,15,0,4.25332837593685,52.0649013007184,183,9
HLT1911,8.0,16,0,4.25169263633927,52.0650468266869,184,15
HLT1907,8.0,17,0,4.24784825566121,52.0668517449488,185,15
HLT1908,8.0,18,0,4.24806906684069,52.0662887519574,186,15
HLT1912,8.0,19,0,4.25421544289492,52.0641477905831,187,20
HLT1913,8.0,20,0,4.25237651264599,52.0641480614418,188,20
HLT1923,8.0,21,0,4.25696917650807,52.0635688982326,189,20
HLT3408,8.0,22,0,4.27463851350802,52.0554122317093,190,15
HLT1107,9.0,1,0,4.2801918694878,52.0884045222757,191,9
HLT1106,9.0,2,0,4.27946560860845,52.0883699908259,192,15
HLT1125,9.0,3,0,4.27800489877421,52.0875793139329,193,15
HLT0930,9.0,4,0,4.277596,52.087573,194,15
HLT0932,9.0,5,0,4.274044,52.086047,195,15
HLT0920,9.0,6,0,4.280671,52.093615,196,9
HLT0919,9.0,7,0,4.280661,52.093444,197,9
HLT0944,9.0,8,0,4.278274,52.090842,198,9
HLT0908,9.0,9,0,4.276434,52.092659,199,9
HLT0912,9.0,10,0,4.276237,52.09236,200,9
HLT0910,9.0,11,0,4.2779008915119,52.0953394429413,201,20
HLT0911,9.0,12,0,4.27817729560765,52.0954738560172,202,15
HLT0905,9.0,13,0,4.28133152309854,52.0989761989589,203,15
HLT0904,9.0,14,0,4.28151634258156,52.0991939850492,204,20
HLT0732,9.0,15,0,4.270283,52.096457,205,20
HLT0730,9.0,16,0,4.26678963953563,52.0928095335104,206,9
HLT0807,9.0,17,0,4.26229,52.090439,207,9
HLT0804,9.0,18,0,4.257331,52.089753,208,9
HLT0803,9.0,19,0,4.258315,52.090104,209,15
HLT0808,9.0,20,0,4.26232924694836,52.0903021773036,210,15
HLT0744,9.0,21,0,4.263884,52.093232,211,20
HLT0731,10.0,1,0,4.26831401662161,52.0938865902528,212,20
HLT0732,10.0,2,0,4.270283,52.096457,213,20
HLT0718,10.0,3,0,4.27373983210292,52.1009544842491,214,15
HLT0719,10.0,4,0,4.27497905453913,52.101621233843,215,15
HLT1103,10.0,5,0,4.27804922351556,52.0872465784974,216,15
HLT0515,10.0,6,0,4.301436,52.087085,217,15
HLT0510,10.0,7,0,4.305635,52.090243,218,20
HLT0511,10.0,8,0,4.305544,52.089765,219,20
HLT0516,10.0,9,0,4.302489,52.087598,220,9
HLT1123,10.0,10,0,4.29225717843593,52.0850455566203,221,15
HLT1118,10.0,11,0,4.28764956198165,52.0852910315099,222,15
HLT1112,10.0,12,0,4.27906386319042,52.0837158898949,223,20
HLT1113,10.0,13,0,4.27959798558544,52.0843315815511,224,20
HLT1110,10.0,14,0,4.276644447142,52.0820934275228,225,20
HLT2013,10.0,15,0,4.27645092087172,52.0780417480059,226,9
HLT2017,10.0,16,0,4.2750865024914,52.0755849821451,227,9
HLT2021,10.0,17,0,4.27527997395789,52.0725871733176,228,9
HLT2019,11.0,1,0,4.26939161648067,52.0706462933887,229,9
HLT1917,11.0,2,0,4.26290266589708,52.0689136755134,230,20
HLT1916,11.0,3,0,4.25895770076123,52.0675020680755,231,20
HLT1918,11.0,4,0,4.2634417566283,52.0690452467923,232,15
HLT2020,11.0,5,0,4.26965993642885,52.0706091001204,233,15
HLT2022,11.0,6,0,4.27553122836856,52.072911299228,234,15
HLT2018,11.0,7,0,4.27563188763052,52.0763723262955,235,9
HLT2012,11.0,8,0,4.27702211647354,52.0790645740701,236,15
HLT1111,11.0,9,0,4.27705199663484,52.0820482331792,237,9
HLT1117,11.0,10,0,4.28699681366676,52.0852006860692,238,20
HLT1124,11.0,11,0,4.29223345216926,52.0848907024605,239,9
HLT1209,11.0,12,0,4.27311984709792,52.0851645503645,240,9
HLT1210,11.0,13,0,4.27215595707529,52.0851388195567,241,20
HLT1207,11.0,14,0,4.26528730574358,52.082334695646,242,15
HLT1208,11.0,15,0,4.26438726289608,52.0820789153493,243,20
HLT1203,11.0,16,0,4.26082125206425,52.080466894061,244,20
HLT1204,11.0,17,0,4.25979113764391,52.0801897119236,245,20
HLT1201,11.0,18,0,4.254697608956,52.0780749136373,246,15
HLT1202,11.0,19,0,4.25525747672709,52.0781925118133,247,20
HLT1308,11.0,20,0,4.2494000148956,52.0758939817389,248,9
HLT1307,12.0,1,0,4.25140470872696,52.0765455599332,249,15
HLT1306,12.0,2,0,4.2465174891641,52.0745400668295,250,15
HLT1305,12.0,3,0,4.24535029567165,52.0742207720985,251,9
HLT1508,12.0,4,0,4.22357280945134,52.0668077938643,252,9
HLT1506,12.0,5,0,4.22275324695712,52.06862350349,253,9
HLT1502,12.0,6,0,4.2180835140604,52.066462482348,254,15
HLT1504,12.0,7,0,4.22262956598752,52.0687621457293,255,9
HLT1516,12.0,8,0,4.22413015587448,52.0655872066853,256,15
HLT1514,12.0,9,0,4.22480085871072,52.0662687756448,257,20
HLT1403,12.0,10,0,4.23218187382161,52.0681388537322,258,15
HLT1404,12.0,11,0,4.23209838799404,52.0683856675575,259,9
HLT1412,12.0,12,0,4.23561459026974,52.0670429366823,260,15
HLT1411,12.0,13,0,4.23555543563438,52.0666292135708,261,20
HLT1406,12.0,14,0,4.23667656912648,52.0698108687924,262,33
HLT1408,12.0,15,0,4.24097381784305,52.0715910519634,263,28
HLT1421,12.0,16,0,4.24065349556269,52.0657695373576,264,15
HLT1417,12.0,17,0,4.23706984122819,52.0648769363753,265,20
HLT1418,12.0,18,0,4.23747181956075,52.065053313257,266,9
HLT1425,12.0,19,0,4.22654154604364,52.0631085093536,267,15
HLT1426,12.0,20,0,4.22602396063551,52.0632317860165,268,15
HLT1873,12.0,21,0,4.22606296129191,52.0585112299475,269,15
HLT1872,12.0,22,0,4.22662194525206,52.0583088276514,270,15
HLT1835,12.0,23,0,4.22786206254449,52.0570660144044,271,15
HLT1834,12.0,24,0,4.22801370012659,52.0575349570347,272,15
HLS0188,13.0,1,0,4.226034,52.050833,273,9
HLS0189,13.0,2,0,4.226701,52.051001,274,9
HLS0190,13.0,3,0,4.221448,52.0489,275,9
HLS0197,13.0,4,0,4.209976,52.046062,276,20
HLS0196,13.0,5,0,4.209726,52.04615,277,20
HLS0191,13.0,6,0,4.222247,52.049025,278,15
HLS0192,13.0,7,0,4.229364,52.052313,279,20
HLS0193,13.0,8,0,4.229754,52.052452,280,15
HLT1821,13.0,9,0,4.23389974883629,52.0542678637796,281,15
HLT1820,13.0,10,0,4.23365387456737,52.0543610610503,282,20
HLT1822,13.0,11,0,4.23853864000956,52.0550860576614,283,15
HLT1823,13.0,12,0,4.2384645101827,52.0551826032326,284,15
HLT1828,13.0,13,0,4.24795344050782,52.059436250326,285,15
HLT1808,13.0,14,0,4.24740593582614,52.0613182814916,286,20
HLT1809,13.0,15,0,4.24703740239513,52.0612914415407,287,15
HLT1829,13.0,16,0,4.24783772247889,52.059305178619,288,9
HLT1715,13.0,17,0,4.25163227605954,52.0557213157229,289,15
HLT1716,13.0,18,0,4.25072483701974,52.0563952744465,290,15
HLT1825,13.0,19,0,4.24605639344988,52.0565327580841,291,15
HLS0136,13.0,20,0,4.253607,52.051902,292,15
HLS0230,13.0,21,0,4.248576,52.048473,293,20
HLS0166,13.0,22,0,4.242597,52.043984,294,20
HLS0212,13.0,23,0,4.235364,52.039536,295,20
HLS0213,13.0,24,0,4.236315,52.039977,296,9
HLT1677,14.0,1,0,4.240459,52.045518,297,20
HLS0165,14.0,2,0,4.240985,52.043186,298,20
HLS0231,14.0,3,0,4.249571,52.048914,299,20
HLS0137,14.0,4,0,4.254675,52.052307,300,20
HLT1717,14.0,5,0,4.25868285890681,52.0551439362332,301,9
HLT1718,14.0,6,0,4.25740910117965,52.0545174488491,302,9
HLT1721,14.0,7,0,4.26193342693348,52.0570853492844,303,20
HLT1719,14.0,8,0,4.26153361671092,52.0570438914836,304,9
HLT3209,14.0,9,0,4.26360454959403,52.0594866872479,305,20
HLT3210,14.0,10,0,4.26362238597099,52.0592943612872,306,15
HLS0181,14.0,11,0,4.296006,52.054864,307,9
HLS0217,14.0,12,0,4.29238,52.058839,308,15
HLT3708,14.0,13,0,4.30306038741281,52.056294589728,309,15
HLT3709,14.0,14,0,4.30193001200223,52.0567790743245,310,20
HLS0216,14.0,15,0,4.29354,52.057933,311,9
HLS0180,14.0,16,0,4.29642,52.054023,312,9
HLS0135,14.0,17,0,4.298769,52.051564,313,20
HLS0134,14.0,18,0,4.298853,52.051124,314,15
HLT3601,14.0,19,0,4.2847159887493,52.048140641604,315,20
HLT3439,14.0,20,0,4.28087620553163,52.0512774337604,316,9
HLT3438,15.0,1,0,4.28091817078335,52.0509160884693,317,15
HLT3436,15.0,2,0,4.27935778947973,52.0491489091486,318,20
HLT3437,15.0,3,0,4.27931534507729,52.0496709143165,319,15
HLT3413,15.0,4,0,4.27446096207117,52.0500461641258,320,51
HLT3414,15.0,5,0,4.27493207188515,52.0501525582492,321,33
