LambdaL,LambdaC,ratio,objective,travelTime,minShiftLength,maxShiftLength,varShiftLength,minCleaning,maxCleaning
0.0,0.0,1.0,333.8217347445061,30.75506807783937,1.1993202164127257,7.993660047036427,16860.38002115016,0.15,6.516666666666667
0.0,0.0,0.5,333.8217347445061,30.75506807783937,1.1993202164127257,7.993660047036427,16860.38002115016,0.15,6.516666666666667
0.0,0.0,0.3333333333333333,333.8217347445061,30.75506807783937,1.1993202164127257,7.993660047036427,16860.38002115016,0.15,6.516666666666667
0.0,0.0,0.25,333.8217347445061,30.75506807783937,1.1993202164127257,7.993660047036427,16860.38002115016,0.15,6.516666666666667
0.0,0.0,0.2,333.8217347445061,30.75506807783937,1.1993202164127257,7.993660047036427,16860.38002115016,0.15,6.516666666666667
5.0E-4,5.0E-4,1.0,336.340218700169,33.27355203350233,4.686368496513199,7.936652784245628,2074.8475242888967,3.4,6.266666666666667
5.0E-4,2.5E-4,0.5,335.88477445682986,32.81810779016324,4.846962407200553,7.936652784245628,2294.0474950565826,3.3,6.266666666666667
5.0E-4,1.6666666666666666E-4,0.3333333333333333,335.837483686181,32.77081701951442,4.846962407200553,7.936652784245628,2311.339036311504,3.3,6.3
5.0E-4,1.25E-4,0.25,335.90783778599,32.84117111932347,4.706112429464643,7.936652784245628,2395.1771633034687,3.1666666666666665,6.3
5.0E-4,1.0E-4,0.2,335.8301712355167,32.76350456885003,4.706112429464643,7.889635122030601,2360.1580129690706,3.1666666666666665,6.3
0.001,0.001,1.0,337.45254793100986,34.385881264343304,5.673111059812067,7.443859435163771,653.7061119602829,4.3,5.866666666666666
0.001,5.0E-4,0.5,337.0929065222079,34.026239855541434,5.624512062281849,7.889635122030601,920.7248234374782,4.0,5.983333333333333
0.001,3.333333333333333E-4,0.3333333333333333,336.84595926714974,33.779292600483124,5.844909723122459,7.889635122030601,991.0492865215238,4.283333333333333,6.05
0.001,2.5E-4,0.25,336.92311707952945,33.85645041286285,5.773081027320031,7.889635122030601,930.5210050463426,4.283333333333333,6.05
0.001,2.0E-4,0.2,336.7875609992446,33.72089433257796,5.773081027320031,7.889635122030601,931.9351446564208,4.283333333333333,6.0
