T0,maxIter,osc,finalObjective,improvement,runtimeSeconds
0.1,1000,1,335.7880759045617,0.38439970861321626,15.721
0.1,1000,5,335.7939867189338,0.37848889424111576,16.444
0.1,1000,10,335.76956089173433,0.40291472144059526,15.168
0.1,1000,50,335.74929570091484,0.4231799122600819,16.678
0.5,1000,1,335.9583283638223,0.21414724935260665,13.219
0.5,1000,5,336.33928573861607,-0.16681012544114537,12.462
0.5,1000,10,336.1600236603754,0.012451952799551691,12.663
0.5,1000,50,336.2319863548194,-0.05951074164448755,12.881
1.0,1000,1,336.99718024888807,-0.8247046357131467,13.692
1.0,1000,5,337.5356010755431,-1.3631254623682025,12.127
1.0,1000,10,337.32270955230877,-1.150233939133841,12.183
1.0,1000,50,337.4192376647783,-1.2467620516033548,12.792
2.0,1000,1,341.0372225929122,-4.864746979737276,12.093
2.0,1000,5,340.6438507504724,-4.471375137297457,12.109
2.0,1000,10,341.30909399350537,-5.136618380330447,11.423
2.0,1000,50,340.6061290761028,-4.43365346292785,11.835
0.1,10000,1,335.3063746613759,0.8661009517990124,159.799
0.1,10000,5,335.33033356383305,0.8421420493418736,174.469
0.1,10000,10,335.3967545565812,0.7757210565937385,163.863
0.1,10000,50,335.20978845538207,0.9626871577928569,172.301
0.5,10000,1,335.09940496837766,1.0730706447972693,122.936
0.5,10000,5,335.22777715747276,0.9446984557021665,125.353
0.5,10000,10,335.1530028570847,1.019472756090238,123.042
0.5,10000,50,335.0954552184758,1.0770203946991046,121.789
1.0,10000,1,336.08534494048945,0.08713067268547547,112.59
1.0,10000,5,335.8376299528236,0.3348456603513341,113.456
1.0,10000,10,336.3415363737419,-0.16906076056699249,111.882
1.0,10000,50,335.9934742615813,0.17900135159362662,112.452
2.0,10000,1,339.6403487896069,-3.467873176431965,108.856
2.0,10000,5,339.7125358550533,-3.5400602418783933,108.57
2.0,10000,10,339.6468049906705,-3.4743293774955646,108.607
2.0,10000,50,339.7113051321804,-3.5388295190055032,108.586
0.1,20000,1,335.1619159717388,1.0105596414361457,387.085
0.1,20000,5,335.1624926090887,1.009983004086223,337.394
0.1,20000,10,335.2075719116257,0.9649037015492468,343.24
0.1,20000,50,335.123615334236,1.048860278938946,321.058
0.5,20000,1,334.78842409569194,1.3840515174829875,261.922
0.5,20000,5,334.6308964722241,1.5415791409508302,265.126
0.5,20000,10,334.76917403683257,1.4033015763423577,252.441
0.5,20000,50,334.6853946998257,1.4870809133492457,251.539
1.0,20000,1,335.5018855493676,0.6705900638073103,226.928
1.0,20000,5,335.44603838022107,0.726437232953856,224.064
1.0,20000,10,335.48188327849977,0.6905923346751592,222.19
1.0,20000,50,335.2795673926181,0.8929082205568193,225.257
2.0,20000,1,338.7366338857333,-2.564158272558359,218.082
2.0,20000,5,337.4997377825073,-1.3272621693323572,216.709
2.0,20000,10,337.7221111758749,-1.5496355626999616,217.59
2.0,20000,50,337.91143380224923,-1.7389581890743102,215.265
0.1,30000,1,335.05388885720765,1.1185867559672715,232.76
0.1,30000,5,335.13568840750725,1.0367872056676788,490.759
0.1,30000,10,335.16910411529386,1.0033714978810622,541.576
0.1,30000,50,335.00035538772084,1.17212022545408,567.687
0.5,30000,1,334.67307668733355,1.4993989258413762,403.99
0.5,30000,5,334.58973943262794,1.5827361805469877,379.065
0.5,30000,10,334.6016417542259,1.5708338589490154,376.971
0.5,30000,50,334.60055962772253,1.5719159854523923,374.345
1.0,30000,1,335.0331385146529,1.1393370985220486,348.685
1.0,30000,5,334.9419096650035,1.2305659481714315,338.698
1.0,30000,10,335.19644185315434,0.9760337600205844,334.278
1.0,30000,50,335.11306963405406,1.0594059791208679,335.529
2.0,30000,1,337.5140810261087,-1.3416054129338022,327.822
2.0,30000,5,336.5522513616815,-0.3797757485065745,323.66
2.0,30000,10,336.78694412948465,-0.6144685163097279,323.602
2.0,30000,50,337.22843508788895,-1.0559594747140295,322.078
0.1,50000,1,335.03745492792507,1.1350206852498559,947.534
0.1,50000,5,334.91029342172334,1.2621821914515863,959.915
0.1,50000,10,335.0045174469298,1.1679581662451142,967.686
0.1,50000,50,335.1258765022257,1.0465991109492165,953.186
0.5,50000,1,334.4247421892017,1.7477334239732158,674.229
0.5,50000,5,334.35663298348305,1.815842629691872,696.626
0.5,50000,10,334.5014604865483,1.671015126626628,669.387
0.5,50000,50,334.5399353335643,1.6325402796106232,633.592
1.0,50000,1,334.79800353534966,1.37447207782526,577.155
1.0,50000,5,334.4096803720507,1.7627952411242518,575.193
1.0,50000,10,334.4707051513924,1.7017704617825302,572.112
1.0,50000,50,334.4558805310414,1.7165950821335514,566.944
2.0,50000,1,336.9432853428042,-0.7708097296292635,548.782
2.0,50000,5,335.51498508652645,0.6574905266484734,541.686
2.0,50000,10,335.90641122983914,0.2660643833357881,538.82
2.0,50000,50,336.3347304638291,-0.16225485065416478,538.415
