T0,maxIter,osc,finalObjective,improvement,runtimeSeconds
0.1,1000,1,335.8709570558867,0.30151855728820465,15.641
0.1,1000,5,335.8389120317395,0.33356358143544185,15.496
0.1,1000,10,335.8901799022923,0.28229571088263583,14.39
0.1,1000,50,335.9039347933013,0.26854081987363543,14.007
0.5,1000,1,336.34393086658173,-0.1714552534068048,12.198
0.5,1000,5,336.19853266447626,-0.026057051301336287,14.111
0.5,1000,10,336.00273141543875,0.1697441977361791,13.621
0.5,1000,50,336.27194745752865,-0.09947184435372947,11.968
1.0,1000,1,337.0601630901675,-0.8876874769925962,11.382
1.0,1000,5,337.29309548933185,-1.1206198761569226,12.238
1.0,1000,10,337.56195813865804,-1.3894825254831176,11.38
1.0,1000,50,336.9459666194419,-0.7734910062669655,11.475
2.0,1000,1,340.55360246046456,-4.381126847289636,10.873
2.0,1000,5,341.62100788456314,-5.448532271388217,11.624
2.0,1000,10,341.05564366418787,-4.8831680510129445,10.841
2.0,1000,50,340.66745186645204,-4.494976253277116,11.063
0.1,10000,1,335.2453493730249,0.9271262401500167,169.452
0.1,10000,5,335.2933840846341,0.8790915285408119,166.335
0.1,10000,10,335.2944072762766,0.8780683368983091,173.062
0.1,10000,50,335.174793008567,0.9976826046079168,161.209
0.5,10000,1,335.41653352458087,0.755942088594054,128.522
0.5,10000,5,334.76635487146353,1.4061207417113906,126.012
0.5,10000,10,334.85224900808026,1.3202266050946605,126.634
0.5,10000,50,335.21754312154826,0.9549324916266642,127.72
1.0,10000,1,336.0181511356904,0.15432447748452205,114.224
1.0,10000,5,335.93403719328415,0.23843841989076964,115.625
1.0,10000,10,335.9739716506231,0.19850396255179703,114.649
1.0,10000,50,335.9614339868778,0.2110416262971171,118.612
2.0,10000,1,339.9938509303185,-3.821375317143577,110.047
2.0,10000,5,339.03631305817095,-2.8638374449960224,108.569
2.0,10000,10,339.67496962485654,-3.5024940116816197,109.041
2.0,10000,50,340.02470068373015,-3.852225070555221,107.08
0.1,30000,1,334.95853726495784,1.2139383482170842,488.084
0.1,30000,5,335.09588638667356,1.076589226501369,582.201
0.1,30000,10,335.11808405766203,1.0543915555128933,512.675
0.1,30000,50,335.0793452098643,1.0931304033106244,561.815
0.5,30000,1,334.7089509469997,1.4635246661752035,390.131
0.5,30000,5,334.74110986186264,1.4313657513122848,381.531
0.5,30000,10,334.62777775366857,1.544697859506357,384.639
0.5,30000,50,334.5406469273946,1.631828685780306,369.121
1.0,30000,1,334.95030479811356,1.2221708150613608,347.271
1.0,30000,5,334.7634732011053,1.4090024120696398,342.894
1.0,30000,10,335.1033691086988,1.0691065044761103,340.733
1.0,30000,50,334.84509459820805,1.3273810149668748,341.197
2.0,30000,1,337.362043453389,-1.1895678402140675,327.245
2.0,30000,5,336.9544243788843,-0.7819487657093873,325.532
2.0,30000,10,336.7447198010688,-0.5722441878938866,320.969
2.0,30000,50,336.52461248920775,-0.35213687603283006,322.172
0.1,50000,1,335.0493401284047,1.1231354847702164,971.104
0.1,50000,5,334.89376075243797,1.2787148607369545,910.697
0.1,50000,10,334.91599032897744,1.2564852841974812,958.212
0.1,50000,50,335.1156834001609,1.0567922130140346,900.325
0.5,50000,1,334.31093264133074,1.8615429718441874,645.213
0.5,50000,5,334.57730729198903,1.595168321185895,639.287
0.5,50000,10,334.372918404104,1.7995572090709402,646.068
0.5,50000,50,334.5238990868124,1.6485765263625467,614.075
1.0,50000,1,334.7571713651939,1.4153042479809983,589.917
1.0,50000,5,334.91658377396095,1.255891839213973,566.424
1.0,50000,10,334.33002565885477,1.8424499543201591,576.47
1.0,50000,50,334.7028685367447,1.4696070764302362,558.899
2.0,50000,1,336.7382595413918,-0.5657839282168879,547.626
2.0,50000,5,335.71318699242323,0.45928862075169263,541.391
2.0,50000,10,335.73524791084975,0.43722770232517405,544.83
2.0,50000,50,336.2685062615071,-0.09603064833220287,535.772
0.1,100000,1,335.1400979637773,1.032377649397631,846.317
0.1,100000,5,334.9132100206489,1.2592655925260487,1850.597
0.1,100000,10,335.0476523981541,1.1248232150207969,1992.891
0.1,100000,50,334.8414989878989,1.3309766252760369,1860.502
0.5,100000,1,334.3539080551274,1.818567558047505,1253.007
0.5,100000,5,334.0092407114128,2.1632349017621095,1325.832
0.5,100000,10,334.17982189926755,1.992653713907373,1373.372
0.5,100000,50,334.0937645868945,2.0787110262804163,1276.073
1.0,100000,1,334.72644069189505,1.4460349212798747,1209.553
1.0,100000,5,334.20623691905536,1.9662386941195678,1178.382
1.0,100000,10,334.2625733982854,1.9099022148895415,1144.211
1.0,100000,50,334.2278003849106,1.944675228264316,1138.142
2.0,100000,1,335.4557351757765,0.7167404373984141,1136.439
2.0,100000,5,335.2039688866787,0.9685067264962299,1107.477
2.0,100000,10,334.95080476863393,1.221670844540995,1087.177
2.0,100000,50,335.37560646284817,0.7968691503267564,1078.607
