ID_MAXIMO,Route,Order,Night_shift,longitude,latitude,ID,Service_time
Depot,NA,NA,100,4.34894911389561,52.0653854823115,0,0.0
HLT3906,1,1,0,4.3364707744107,52.0701556590412,54,15.0
HLT3904,2,1,0,4.33434179462147,52.0716611773701,53,9.0
HLT2649,3,1,0,4.33931637114307,52.0843828889647,99,15.0
HLT2639,3,2,0,4.3395330165364,52.0872884352986,86,15.0
HLT2640,3,3,0,4.34053603045142,52.0878914018656,84,9.0
HLT2641,3,4,0,4.344221098045,52.0893228656168,83,9.0
HLT2642,3,5,0,4.34439808585869,52.089182696308,87,15.0
HLT2501,3,6,0,4.34728061693831,52.0906293138396,88,15.0
HLT2502,3,7,0,4.34746839776514,52.0909152755171,82,15.0
HLT2504,3,8,0,4.35070206639716,52.092189557212,81,15.0
HLT2503,3,9,0,4.35244085851387,52.0926541492052,89,15.0
HLT2505,3,10,0,4.35615315934329,52.0943226209363,91,9.0
HLT2508,3,11,0,4.36071909051003,52.09652487987,93,15.0
HLT2507,3,12,0,4.36013991659398,52.0964923707625,92,9.0
HLT2506,3,13,0,4.3559562781038,52.0943794596975,90,9.0
HLS0204,3,14,0,4.350785,52.093965,78,15.0
HLS0151,3,15,0,4.357855,52.098108,79,15.0
HLS0235,3,16,0,4.36135,52.100359,61,15.0
HLS0368,3,17,0,4.346273,52.099103,72,15.0
HLS0364,3,18,0,4.334929,52.094274,73,9.0
HLS0362,3,19,0,4.331293,52.092507,68,15.0
HLS0366,3,20,0,4.335599,52.094361,69,9.0
HLS0367,3,21,0,4.347509,52.09932,70,9.0
HLS0365,3,22,0,4.358149,52.105005,71,9.0
HLS0236,3,23,0,4.360956,52.100355,62,15.0
HLS0152,3,24,0,4.358048,52.098631,63,15.0
HLS0205,3,25,0,4.349589,52.093316,64,15.0
HLS0128,3,26,0,4.34088,52.090669,77,15.0
HLT2638,3,27,0,4.33736218862579,52.0859212517317,122,15.0
HLT2910,4,1,0,4.30018187767599,52.0696457209712,357,15.0
HLT2909,4,2,0,4.29988572911518,52.0695292616339,356,15.0
HLT2913,4,3,0,4.29664274776856,52.0669020617042,359,15.0
HLT2914,4,4,0,4.29629262165418,52.0664445261655,358,9.0
HLT3010,4,5,0,4.29303676506319,52.0650347876347,347,15.0
HLT3009,4,6,0,4.2922575271077,52.0647999584986,348,15.0
HLT2022,4,7,0,4.27553122836856,52.072911299228,234,15.0
HLT2021,4,8,0,4.27527997395789,52.0725871733176,228,9.0
HLT2020,4,9,0,4.26965993642885,52.0706091001204,233,15.0
HLT2019,4,10,0,4.26939161648067,52.0706462933887,229,9.0
HLT1917,4,11,0,4.26290266589708,52.0689136755134,230,15.0
HLT1916,4,12,0,4.25895770076123,52.0675020680755,231,15.0
HLT1912,4,13,0,4.25421544289492,52.0641477905831,187,15.0
HLT1923,4,14,0,4.25696917650807,52.0635688982326,189,15.0
HLT3201,4,15,0,4.25988473489936,52.0622454150696,180,15.0
HLT3209,4,16,0,4.26360454959403,52.0594866872479,305,15.0
HLT3210,4,17,0,4.26362238597099,52.0592943612872,306,15.0
HLT3405,4,18,0,4.27089447410194,52.053112189457,328,15.0
HLT3406,4,19,0,4.27159931046594,52.0526932210473,329,15.0
HLT3413,4,20,0,4.27446096207117,52.0500461641258,320,41.0
HLT3414,4,21,0,4.27493207188515,52.0501525582492,321,28.0
HLT3438,4,22,0,4.28091817078335,52.0509160884693,317,15.0
HLT3907,5,1,0,4.34064110329787,52.0667989654997,24,15.0
HLT3808,6,1,0,4.31835416602612,52.0610015648897,117,15.0
HLT3807,6,2,0,4.31843417672131,52.0611665389729,116,15.0
HLS0208,6,3,0,4.293286,52.059989,350,9.0
HLT3126,6,4,0,4.290975,52.062026,345,9.0
HLT3122,6,5,0,4.28896101903139,52.0634384554823,343,15.0
HLT3121,6,6,0,4.28893585765551,52.0635550932196,346,15.0
HLT3119,6,7,0,4.28369421306727,52.0621057744916,342,9.0
HLT3120,6,8,0,4.28386639706819,52.0620224434907,341,9.0
HLT3220,6,9,0,4.27930098012377,52.059629346447,360,15.0
HLT3407,6,10,0,4.2739476630964,52.0553528654491,361,15.0
HLT1716,6,11,0,4.25072483701974,52.0563952744465,290,15.0
HLT1823,6,12,0,4.2384645101827,52.0551826032326,284,15.0
HLT1822,6,13,0,4.23853864000956,52.0550860576614,283,15.0
HLT1820,6,14,0,4.23365387456737,52.0543610610503,282,15.0
HLS0188,6,15,0,4.226034,52.050833,273,9.0
HLS0189,6,16,0,4.226701,52.051001,274,9.0
HLS0192,6,17,0,4.229364,52.052313,279,15.0
HLS0193,6,18,0,4.229754,52.052452,280,15.0
HLT1821,6,19,0,4.23389974883629,52.0542678637796,281,15.0
HLT1825,6,20,0,4.24605639344988,52.0565327580841,291,15.0
HLT1715,6,21,0,4.25163227605954,52.0557213157229,289,15.0
HLT3408,6,22,0,4.27463851350802,52.0554122317093,190,15.0
HLT3408,6,23,0,4.27463851350802,52.0554122317093,364,15.0
HLT3219,6,24,0,4.27895473356375,52.0591470110401,365,15.0
HLS0217,6,25,0,4.29238,52.058839,308,15.0
HLT3708,6,26,0,4.30306038741281,52.056294589728,309,15.0
HLT0447,7,1,0,4.315542,52.091529,125,9.0
HLT0417,7,2,0,4.3128388294109,52.0952006965006,149,15.0
HLT0412,7,3,0,4.31308300599461,52.0973925733531,150,9.0
HLT0413,7,4,0,4.315566,52.098441,146,9.0
HLT0414,7,5,0,4.315853,52.098641,151,15.0
HLT0415,7,6,0,4.32156599743908,52.1001717034707,152,15.0
HLT0416,7,7,0,4.32193029175675,52.1001790236594,135,15.0
HLT0403,7,8,0,4.31814917046317,52.1031156242217,145,15.0
HLT0404,7,9,0,4.31796413410107,52.1035931062374,136,15.0
HLT0406,7,10,0,4.317923,52.104215,137,9.0
HLT0405,7,11,0,4.319108,52.104729,138,15.0
HLT0409,7,12,0,4.325369,52.105388,140,15.0
HLT0408,7,13,0,4.323166,52.105359,139,9.0
HLT0407,7,14,0,4.323516,52.105956,141,15.0
HLT0410,7,15,0,4.318902,52.105159,142,9.0
HLT0402,7,16,0,4.31501964749388,52.1012343283809,143,15.0
HLT0401,7,17,0,4.31490865154569,52.1010789016025,144,15.0
HLT0411,7,18,0,4.31159347098113,52.0966546050319,147,15.0
HLT0418,7,19,0,4.31305610533233,52.0945623928717,148,15.0
HLT0426,7,20,0,4.31957823867838,52.0924967656612,130,15.0
HLT0427,7,21,0,4.3195205259337,52.0921868243557,129,9.0
HLT0428,7,22,0,4.323095,52.093601,131,9.0
HLT0429,7,23,0,4.324033,52.094068,132,15.0
HLT0431,7,24,0,4.326403,52.096265,134,15.0
HLT0430,7,25,0,4.326409,52.096022,153,15.0
HLS0363,7,26,0,4.329667,52.09216,74,9.0
HLS0363,7,27,0,4.329667,52.09216,154,9.0
HLT0437,7,28,0,4.319583,52.089741,128,9.0
HLT0436,7,29,0,4.317533,52.088805,127,15.0
HLT2873,8,1,0,4.30955207869815,52.0813797306583,109,15.0
HLT1123,8,2,0,4.29225717843593,52.0850455566203,221,15.0
HLT1118,8,3,0,4.28764956198165,52.0852910315099,222,15.0
HLT1107,8,4,0,4.2801918694878,52.0884045222757,191,9.0
HLT1106,8,5,0,4.27946560860845,52.0883699908259,192,15.0
HLT1103,8,6,0,4.27804922351556,52.0872465784974,216,15.0
HLT1209,8,7,0,4.27311984709792,52.0851645503645,240,9.0
HLT1207,8,8,0,4.26528730574358,52.082334695646,242,15.0
HLT1208,8,9,0,4.26438726289608,52.0820789153493,243,15.0
HLT1203,8,10,0,4.26082125206425,52.080466894061,244,15.0
HLT1201,8,11,0,4.254697608956,52.0780749136373,246,15.0
HLT1202,8,12,0,4.25525747672709,52.0781925118133,247,15.0
HLT1204,8,13,0,4.25979113764391,52.0801897119236,245,15.0
HLT1210,8,14,0,4.27215595707529,52.0851388195567,241,15.0
HLT0932,8,15,0,4.274044,52.086047,195,15.0
HLT0930,8,16,0,4.277596,52.087573,194,15.0
HLT1125,8,17,0,4.27800489877421,52.0875793139329,193,15.0
HLT1113,8,18,0,4.27959798558544,52.0843315815511,224,15.0
HLT1112,8,19,0,4.27906386319042,52.0837158898949,223,15.0
HLT1110,8,20,0,4.276644447142,52.0820934275228,225,15.0
HLT1111,8,21,0,4.27705199663484,52.0820482331792,237,9.0
HLT1117,8,22,0,4.28699681366676,52.0852006860692,238,15.0
HLT1124,8,23,0,4.29223345216926,52.0848907024605,239,9.0
